,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ANSS_EBAY_beta_win,params_ANSS_EBAY_stop_loss,params_ANSS_EBAY_trade_freq,params_ANSS_EBAY_z_entry,params_ANSS_EBAY_z_exit,params_ANSS_EBAY_z_stop_scaler,params_ANSS_EBAY_z_win,params_CHTR_FTNT_beta_win,params_CHTR_FTNT_stop_loss,params_CHTR_FTNT_trade_freq,params_CHTR_FTNT_z_entry,params_CHTR_FTNT_z_exit,params_CHTR_FTNT_z_stop_scaler,params_CHTR_FTNT_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CTSH_MU_beta_win,params_CTSH_MU_stop_loss,params_CTSH_MU_trade_freq,params_CTSH_MU_z_entry,params_CTSH_MU_z_exit,params_CTSH_MU_z_stop_scaler,params_CTSH_MU_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_DDOG_GOOG_beta_win,params_DDOG_GOOG_stop_loss,params_DDOG_GOOG_trade_freq,params_DDOG_GOOG_z_entry,params_DDOG_GOOG_z_exit,params_DDOG_GOOG_z_stop_scaler,params_DDOG_GOOG_z_win,params_EBAY_FAST_beta_win,params_EBAY_FAST_stop_loss,params_EBAY_FAST_trade_freq,params_EBAY_FAST_z_entry,params_EBAY_FAST_z_exit,params_EBAY_FAST_z_stop_scaler,params_EBAY_FAST_z_win,params_FAST_MU_beta_win,params_FAST_MU_stop_loss,params_FAST_MU_trade_freq,params_FAST_MU_z_entry,params_FAST_MU_z_exit,params_FAST_MU_z_stop_scaler,params_FAST_MU_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,1.0118244892134656,2025-06-22 17:09:47.688736,2025-06-22 17:09:52.409782,0 days 00:00:04.721046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5352.0,0.045000000000000005,2m,1.6,0.6000000000000001,1.0,808.0,6944.0,0.01,3m,2.4000000000000004,0.2,1.5,144.0,,,,,,,,4672,0.035,6m,2.8,0.0,0.5,552,,,,,,,,0.3,3,COMPLETE
21,21,0.9880023842987097,2025-06-22 17:09:52.441248,2025-06-22 17:09:57.010108,0 days 00:00:04.568860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5416.0,0.05,2m,1.6,0.6000000000000001,1.0,872.0,6848.0,0.01,3m,2.4000000000000004,0.2,1.5,160.0,,,,,,,,4616,0.035,6m,2.8,0.0,0.5,560,,,,,,,,0.2,3,COMPLETE
22,22,0.9223454005259456,2025-06-22 17:09:57.028165,2025-06-22 17:10:02.309208,0 days 00:00:05.281043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5128.0,0.04,9m,3.0,0.6000000000000001,1.0,832.0,4104.0,0.04,2m,1.0,0.4,1.0,816.0,5112.0,0.015,3m,2.4000000000000004,0.2,2.0,344.0,,,,,,,,1976,0.025,6m,3.0,0.2,0.5,408,,,,,,,,0.3,4,COMPLETE
23,23,1.00300832370466,2025-06-22 17:10:02.325322,2025-06-22 17:10:06.965759,0 days 00:00:04.640437,,,,,,,,,,,,,,,,,,,,,,4424.0,0.025,8m,3.0,0.2,1.0,152.0,3216.0,0.015,6m,2.0,0.0,1.5,136.0,5672.0,0.045000000000000005,5m,1.8,0.6000000000000001,1.5,768.0,5896.0,0.025,8m,2.0,0.0,1.5,680.0,,,,,,,,6024,0.03,7m,2.6,0.0,0.5,576,,,,,,,,0.35000000000000003,5,COMPLETE
24,24,1.0,2025-06-22 17:10:06.991739,2025-06-22 17:10:08.774833,0 days 00:00:01.783094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6880.0,0.015,9m,2.6,0.4,1.0,376.0,,,,,,,,7248,0.035,6m,2.4000000000000004,0.4,1.0,656,,,,,,,,0.05,2,COMPLETE
25,25,0.9970678947836683,2025-06-22 17:10:08.820635,2025-06-22 17:10:12.014812,0 days 00:00:03.194177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2328.0,0.025,4m,2.6,0.2,0.5,560.0,4080.0,0.02,6m,2.2,0.6000000000000001,2.0,128.0,,,,,,,,3192,0.045000000000000005,6m,2.8,0.0,0.5,312,,,,,,,,0.45,3,COMPLETE
26,26,1.0,2025-06-22 17:10:12.060302,2025-06-22 17:10:13.334260,0 days 00:00:01.273958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4240,0.025,7m,3.0,0.2,1.0,248,,,,,,,,0.5,1,COMPLETE
27,27,0.9591946828539161,2025-06-22 17:10:13.361256,2025-06-22 17:10:17.394880,0 days 00:00:04.033624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6944.0,0.045000000000000005,4m,2.6,0.8,0.5,880.0,4080.0,0.035,8m,1.6,1.0,1.0,712.0,8088.0,0.035,5m,1.2,0.2,1.5,232.0,,,,,,,,5040,0.03,6m,2.2,0.8,2.0,512,,,,,,,,0.4,4,COMPLETE
28,28,0.9940163927931394,2025-06-22 17:10:17.431432,2025-06-22 17:10:20.381838,0 days 00:00:02.950406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2608.0,0.01,3m,1.8,0.4,2.0,528.0,,,,,,,,1872,0.045000000000000005,4m,2.6,0.0,0.5,768,,,,,,,,0.2,2,COMPLETE
29,29,1.0073912325443024,2025-06-22 17:10:20.436491,2025-06-22 17:10:29.248019,0 days 00:00:08.811528,1896.0,0.01,4m,2.2,1.0,0.5,136.0,8048.0,0.05,8m,1.0,1.0,0.5,128.0,1048.0,0.05,6m,2.8,0.0,2.0,136.0,1080.0,0.04,8m,1.6,1.0,1.5,968.0,8064.0,0.02,8m,2.0,0.8,1.0,408.0,2400.0,0.045000000000000005,6m,3.0,0.0,1.5,576.0,3608.0,0.04,5m,1.6,0.0,1.0,768.0,,,,,,,,6064,0.04,3m,2.2,0.4,1.5,424,2112.0,0.05,4m,3.0,0.0,0.5,128.0,0.35000000000000003,9,COMPLETE
30,30,1.0252230574337509,2025-06-22 17:10:29.281214,2025-06-22 17:10:38.718644,0 days 00:00:09.437430,1208.0,0.01,4m,2.2,1.0,0.5,160.0,8000.0,0.05,8m,1.0,1.0,0.5,144.0,1264.0,0.05,6m,3.0,0.0,2.0,128.0,1496.0,0.04,8m,1.6,1.0,1.5,936.0,7880.0,0.02,8m,1.8,0.8,1.0,400.0,2304.0,0.045000000000000005,6m,3.0,0.0,1.5,568.0,3832.0,0.045000000000000005,5m,1.6,0.0,1.0,736.0,,,,,,,,6040,0.04,3m,1.8,0.6000000000000001,1.5,640,1808.0,0.05,4m,2.8,0.0,0.5,144.0,0.35000000000000003,9,COMPLETE
31,31,1.0028738517049702,2025-06-22 17:10:38.799425,2025-06-22 17:10:50.256851,0 days 00:00:11.457426,1272.0,0.01,4m,2.2,1.0,0.5,128.0,8096.0,0.05,8m,1.0,1.0,0.5,184.0,1024.0,0.05,6m,3.0,0.0,2.0,128.0,1112.0,0.04,8m,1.6,1.0,1.5,1016.0,8104.0,0.02,8m,1.8,0.8,1.0,416.0,2568.0,0.045000000000000005,6m,3.0,0.0,1.5,528.0,3536.0,0.045000000000000005,5m,1.6,0.0,1.0,752.0,,,,,,,,5968,0.04,3m,1.8,0.6000000000000001,1.5,624,1664.0,0.05,4m,3.0,0.0,0.5,144.0,0.35000000000000003,9,COMPLETE
32,32,1.029048630742739,2025-06-22 17:10:50.284636,2025-06-22 17:10:59.049176,0 days 00:00:08.764540,2640.0,0.01,4m,2.2,1.0,0.5,136.0,8008.0,0.05,8m,1.0,1.0,0.5,152.0,1176.0,0.05,6m,3.0,0.0,2.0,136.0,2088.0,0.04,8m,1.6,0.8,1.5,880.0,7120.0,0.02,8m,2.0,0.8,1.0,424.0,2336.0,0.045000000000000005,6m,3.0,0.0,1.5,600.0,3672.0,0.045000000000000005,5m,1.6,0.0,1.0,728.0,,,,,,,,6208,0.045000000000000005,3m,1.8,0.4,1.5,552,2808.0,0.05,4m,2.6,0.0,0.5,160.0,0.3,9,COMPLETE
33,33,0.9517759038877194,2025-06-22 17:10:59.104278,2025-06-22 17:11:07.232141,0 days 00:00:08.127863,2616.0,0.015,4m,2.4000000000000004,0.8,1.0,288.0,5976.0,0.03,8m,1.6,0.8,0.5,560.0,,,,,,,,2104.0,0.04,8m,1.8,0.8,1.5,816.0,6968.0,0.015,8m,1.6,1.0,1.5,296.0,4432.0,0.04,6m,2.8,0.0,1.5,312.0,4832.0,0.045000000000000005,5m,1.2,0.0,1.0,640.0,,,,,,,,5320,0.045000000000000005,3m,1.8,0.6000000000000001,1.5,520,3088.0,0.04,4m,2.4000000000000004,0.0,0.5,384.0,0.3,8,COMPLETE
34,34,0.9711019086003703,2025-06-22 17:11:07.284227,2025-06-22 17:11:15.240485,0 days 00:00:07.956258,5272.0,0.015,7m,1.8,0.8,1.0,280.0,6856.0,0.035,5m,1.6,1.0,1.0,432.0,,,,,,,,4008.0,0.03,8m,1.4,0.8,1.0,856.0,6232.0,0.02,8m,2.2,0.6000000000000001,0.5,488.0,1040.0,0.05,6m,2.6,0.2,1.0,864.0,3944.0,0.05,5m,2.0,0.2,1.0,856.0,,,,,,,,7224,0.05,3m,1.6,0.8,1.5,720,3168.0,0.01,5m,2.4000000000000004,0.4,0.5,480.0,0.25,8,COMPLETE
35,35,0.9807149898850384,2025-06-22 17:11:15.282047,2025-06-22 17:11:27.564960,0 days 00:00:12.282913,2664.0,0.01,4m,2.4000000000000004,1.0,0.5,296.0,3560.0,0.05,3m,1.4,0.6000000000000001,1.5,384.0,3136.0,0.03,4m,2.4000000000000004,0.0,2.0,320.0,2184.0,0.04,3m,2.0,0.8,1.5,448.0,4952.0,0.015,2m,1.6,0.8,1.0,712.0,2752.0,0.045000000000000005,3m,3.0,0.0,1.5,648.0,5384.0,0.05,5m,1.6,0.0,1.5,616.0,,,,,,,,4328,0.02,2m,1.6,0.4,1.0,600,2336.0,0.05,8m,2.6,0.2,1.5,256.0,0.3,9,COMPLETE
