,number,value,datetime_start,datetime_complete,duration,params_ADP_CTAS_beta_win,params_ADP_CTAS_stop_loss,params_ADP_CTAS_trade_freq,params_ADP_CTAS_z_entry,params_ADP_CTAS_z_exit,params_ADP_CTAS_z_stop_scaler,params_ADP_CTAS_z_win,params_ALXN_CHTR_beta_win,params_ALXN_CHTR_stop_loss,params_ALXN_CHTR_trade_freq,params_ALXN_CHTR_z_entry,params_ALXN_CHTR_z_exit,params_ALXN_CHTR_z_stop_scaler,params_ALXN_CHTR_z_win,params_AMD_CMCSA_beta_win,params_AMD_CMCSA_stop_loss,params_AMD_CMCSA_trade_freq,params_AMD_CMCSA_z_entry,params_AMD_CMCSA_z_exit,params_AMD_CMCSA_z_stop_scaler,params_AMD_CMCSA_z_win,params_AMD_PTON_beta_win,params_AMD_PTON_stop_loss,params_AMD_PTON_trade_freq,params_AMD_PTON_z_entry,params_AMD_PTON_z_exit,params_AMD_PTON_z_stop_scaler,params_AMD_PTON_z_win,params_AMGN_TEAM_beta_win,params_AMGN_TEAM_stop_loss,params_AMGN_TEAM_trade_freq,params_AMGN_TEAM_z_entry,params_AMGN_TEAM_z_exit,params_AMGN_TEAM_z_stop_scaler,params_AMGN_TEAM_z_win,params_CMCSA_PTON_beta_win,params_CMCSA_PTON_stop_loss,params_CMCSA_PTON_trade_freq,params_CMCSA_PTON_z_entry,params_CMCSA_PTON_z_exit,params_CMCSA_PTON_z_stop_scaler,params_CMCSA_PTON_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CMCSA_SPLK_beta_win,params_CMCSA_SPLK_stop_loss,params_CMCSA_SPLK_trade_freq,params_CMCSA_SPLK_z_entry,params_CMCSA_SPLK_z_exit,params_CMCSA_SPLK_z_stop_scaler,params_CMCSA_SPLK_z_win,params_CMCSA_VRTX_beta_win,params_CMCSA_VRTX_stop_loss,params_CMCSA_VRTX_trade_freq,params_CMCSA_VRTX_z_entry,params_CMCSA_VRTX_z_exit,params_CMCSA_VRTX_z_stop_scaler,params_CMCSA_VRTX_z_win,params_CMCSA_XLNX_beta_win,params_CMCSA_XLNX_stop_loss,params_CMCSA_XLNX_trade_freq,params_CMCSA_XLNX_z_entry,params_CMCSA_XLNX_z_exit,params_CMCSA_XLNX_z_stop_scaler,params_CMCSA_XLNX_z_win,params_CSCO_CTAS_beta_win,params_CSCO_CTAS_stop_loss,params_CSCO_CTAS_trade_freq,params_CSCO_CTAS_z_entry,params_CSCO_CTAS_z_exit,params_CSCO_CTAS_z_stop_scaler,params_CSCO_CTAS_z_win,params_FB_CTAS_beta_win,params_FB_CTAS_stop_loss,params_FB_CTAS_trade_freq,params_FB_CTAS_z_entry,params_FB_CTAS_z_exit,params_FB_CTAS_z_stop_scaler,params_FB_CTAS_z_win,params_FOXA_XLNX_beta_win,params_FOXA_XLNX_stop_loss,params_FOXA_XLNX_trade_freq,params_FOXA_XLNX_z_entry,params_FOXA_XLNX_z_exit,params_FOXA_XLNX_z_stop_scaler,params_FOXA_XLNX_z_win,params_FOX_XLNX_beta_win,params_FOX_XLNX_stop_loss,params_FOX_XLNX_trade_freq,params_FOX_XLNX_z_entry,params_FOX_XLNX_z_exit,params_FOX_XLNX_z_stop_scaler,params_FOX_XLNX_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_JD_CTAS_beta_win,params_JD_CTAS_stop_loss,params_JD_CTAS_trade_freq,params_JD_CTAS_z_entry,params_JD_CTAS_z_exit,params_JD_CTAS_z_stop_scaler,params_JD_CTAS_z_win,params_KLAC_MCHP_beta_win,params_KLAC_MCHP_stop_loss,params_KLAC_MCHP_trade_freq,params_KLAC_MCHP_z_entry,params_KLAC_MCHP_z_exit,params_KLAC_MCHP_z_stop_scaler,params_KLAC_MCHP_z_win,params_MTCH_TEAM_beta_win,params_MTCH_TEAM_stop_loss,params_MTCH_TEAM_trade_freq,params_MTCH_TEAM_z_entry,params_MTCH_TEAM_z_exit,params_MTCH_TEAM_z_stop_scaler,params_MTCH_TEAM_z_win,params_NFLX_CHTR_beta_win,params_NFLX_CHTR_stop_loss,params_NFLX_CHTR_trade_freq,params_NFLX_CHTR_z_entry,params_NFLX_CHTR_z_exit,params_NFLX_CHTR_z_stop_scaler,params_NFLX_CHTR_z_win,params_NFLX_CTAS_beta_win,params_NFLX_CTAS_stop_loss,params_NFLX_CTAS_trade_freq,params_NFLX_CTAS_z_entry,params_NFLX_CTAS_z_exit,params_NFLX_CTAS_z_stop_scaler,params_NFLX_CTAS_z_win,params_PTON_CTAS_beta_win,params_PTON_CTAS_stop_loss,params_PTON_CTAS_trade_freq,params_PTON_CTAS_z_entry,params_PTON_CTAS_z_exit,params_PTON_CTAS_z_stop_scaler,params_PTON_CTAS_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_stop_loss,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_stop_scaler,params_PTON_SGEN_z_win,params_PTON_XLNX_beta_win,params_PTON_XLNX_stop_loss,params_PTON_XLNX_trade_freq,params_PTON_XLNX_z_entry,params_PTON_XLNX_z_exit,params_PTON_XLNX_z_stop_scaler,params_PTON_XLNX_z_win,params_QCOM_CTAS_beta_win,params_QCOM_CTAS_stop_loss,params_QCOM_CTAS_trade_freq,params_QCOM_CTAS_z_entry,params_QCOM_CTAS_z_exit,params_QCOM_CTAS_z_stop_scaler,params_QCOM_CTAS_z_win,params_ROST_CTAS_beta_win,params_ROST_CTAS_stop_loss,params_ROST_CTAS_trade_freq,params_ROST_CTAS_z_entry,params_ROST_CTAS_z_exit,params_ROST_CTAS_z_stop_scaler,params_ROST_CTAS_z_win,params_SBUX_CTAS_beta_win,params_SBUX_CTAS_stop_loss,params_SBUX_CTAS_trade_freq,params_SBUX_CTAS_z_entry,params_SBUX_CTAS_z_exit,params_SBUX_CTAS_z_stop_scaler,params_SBUX_CTAS_z_win,params_SPLK_CTAS_beta_win,params_SPLK_CTAS_stop_loss,params_SPLK_CTAS_trade_freq,params_SPLK_CTAS_z_entry,params_SPLK_CTAS_z_exit,params_SPLK_CTAS_z_stop_scaler,params_SPLK_CTAS_z_win,params_TSLA_CTAS_beta_win,params_TSLA_CTAS_stop_loss,params_TSLA_CTAS_trade_freq,params_TSLA_CTAS_z_entry,params_TSLA_CTAS_z_exit,params_TSLA_CTAS_z_stop_scaler,params_TSLA_CTAS_z_win,params_ZM_CTAS_beta_win,params_ZM_CTAS_stop_loss,params_ZM_CTAS_trade_freq,params_ZM_CTAS_z_entry,params_ZM_CTAS_z_exit,params_ZM_CTAS_z_stop_scaler,params_ZM_CTAS_z_win,params_ZM_TEAM_beta_win,params_ZM_TEAM_stop_loss,params_ZM_TEAM_trade_freq,params_ZM_TEAM_z_entry,params_ZM_TEAM_z_exit,params_ZM_TEAM_z_stop_scaler,params_ZM_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
25,25,1.0212219402229146,2025-06-22 16:14:43.306368,2025-06-22 16:14:54.087095,0 days 00:00:10.780727,,,,,,,,7824.0,0.03,3m,2.2,0.0,1.0,304.0,4736.0,0.03,4m,2.2,0.4,1.0,248.0,2144.0,0.025,2m,1.2,1.0,2.0,264.0,,,,,,,,5280,0.035,3m,2.0,1.0,2.0,536,5896,0.04,3m,1.6,0.0,1.5,776,,,,,,,,,,,,,,,1600,0.015,5m,1.2,1.0,2.0,640,,,,,,,,,,,,,,,2944,0.04,2m,2.2,0.0,1.5,344,4584,0.03,5m,2.0,0.6000000000000001,2.0,360,3496,0.035,5m,1.6,0.8,0.5,648,1616,0.03,4m,2.0,0.6000000000000001,1.5,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7048,0.045000000000000005,4m,1.0,0.0,1.5,352,3640,0.015,2m,1.6,0.8,1.0,944,4656,0.045000000000000005,2m,1.6,0.6000000000000001,1.5,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,13,COMPLETE
26,26,0.9793615418010498,2025-06-22 16:14:54.125964,2025-06-22 16:15:12.444329,0 days 00:00:18.318365,1080.0,0.025,5m,3.0,0.8,1.5,880.0,1720.0,0.045000000000000005,5m,3.0,0.2,1.5,488.0,8192.0,0.045000000000000005,4m,1.8,0.0,0.5,432.0,3976.0,0.015,5m,2.2,0.0,1.5,128.0,,,,,,,,4128,0.01,1m,1.2,0.8,1.5,360,7024,0.025,4m,1.2,0.2,0.5,616,7752.0,0.025,4m,2.0,0.4,2.0,848.0,,,,,,,,2624,0.02,3m,1.4,0.8,1.5,904,,,,,,,,,,,,,,,6192,0.025,1m,2.6,0.2,2.0,504,3712,0.045000000000000005,2m,1.8,0.8,1.0,224,2832,0.04,2m,1.2,0.4,1.5,912,4168,0.015,5m,1.8,0.2,2.0,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4960.0,0.04,5m,1.2,0.8,2.0,400.0,5944,0.02,1m,1.6,0.2,1.0,208,4624,0.02,1m,2.6,0.6000000000000001,0.5,728,5816,0.04,5m,2.2,0.0,1.0,696,3448.0,0.025,5m,2.8,0.0,1.0,744.0,5288.0,0.035,3m,2.8,0.2,1.5,400.0,1744.0,0.02,2m,1.6,1.0,0.5,456.0,,,,,,,,,,,,,,,0.3,19,COMPLETE
27,27,0.9546354645230113,2025-06-22 16:15:12.495220,2025-06-22 16:15:30.344388,0 days 00:00:17.849168,3360.0,0.03,1m,2.0,1.0,1.0,208.0,2992.0,0.015,5m,2.6,0.6000000000000001,2.0,664.0,5288.0,0.04,5m,1.2,1.0,1.0,352.0,2952.0,0.05,1m,1.8,0.8,2.0,752.0,,,,,,,,5912,0.02,1m,2.0,0.2,2.0,704,5176,0.045000000000000005,1m,1.8,0.0,2.0,888,,,,,,,,,,,,,,,4168,0.035,1m,2.2,0.4,2.0,352,,,,,,,,,,,,,,,1728,0.015,3m,1.8,0.4,1.0,592,5120,0.025,2m,2.2,1.0,1.5,280,1864,0.05,4m,2.0,0.2,1.0,672,2864,0.04,3m,2.4000000000000004,0.8,1.5,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088,0.04,1m,1.4,0.8,1.5,752,2384,0.03,4m,2.0,1.0,1.5,648,2992,0.025,5m,1.2,0.8,0.5,416,6264.0,0.035,5m,2.4000000000000004,0.4,1.5,536.0,,,,,,,,2912.0,0.015,5m,1.2,0.6000000000000001,0.5,728.0,,,,,,,,,,,,,,,0.2,16,COMPLETE
28,28,1.0148763640580032,2025-06-22 16:15:30.382731,2025-06-22 16:15:42.929905,0 days 00:00:12.547174,4472.0,0.035,5m,1.4,1.0,2.0,680.0,4864.0,0.025,5m,2.4000000000000004,0.0,1.5,256.0,6128.0,0.035,4m,1.8,0.2,0.5,504.0,4904.0,0.02,2m,1.2,0.6000000000000001,1.5,584.0,,,,,,,,4880,0.03,1m,1.6,0.6000000000000001,1.5,264,4176,0.05,1m,1.0,0.4,1.0,704,,,,,,,,,,,,,,,6264,0.025,3m,1.6,0.6000000000000001,1.5,736,,,,,,,,,,,,,,,3992,0.045000000000000005,3m,3.0,0.0,1.5,376,3288,0.04,5m,1.4,0.6000000000000001,2.0,192,3576,0.045000000000000005,5m,1.2,0.6000000000000001,0.5,760,1048,0.045000000000000005,3m,3.0,0.4,2.0,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,0.025,3m,1.2,0.0,2.0,608,3472,0.035,2m,3.0,0.8,1.0,840,4224,0.05,5m,2.0,1.0,1.0,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,14,COMPLETE
29,29,0.9929340094738813,2025-06-22 16:15:43.001431,2025-06-22 16:15:51.765658,0 days 00:00:08.764227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7448,0.02,4m,1.6,0.0,0.5,216,3808,0.025,4m,2.2,0.0,0.5,568,,,,,,,,,,,,,,,3304,0.045000000000000005,5m,1.0,0.2,2.0,952,,,,,,,,,,,,,,,5064,0.05,3m,1.2,0.0,2.0,208,1064,0.035,1m,2.0,0.6000000000000001,2.0,568,4952,0.035,2m,1.6,0.4,1.0,584,2256,0.015,4m,1.2,0.0,2.0,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4984,0.015,3m,1.8,0.2,1.0,480,1744,0.045000000000000005,3m,2.0,0.6000000000000001,1.0,424,7576,0.035,4m,3.0,0.8,1.5,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,10,COMPLETE
30,30,0.9956173309748222,2025-06-22 16:15:51.800312,2025-06-22 16:16:06.021797,0 days 00:00:14.221485,2032.0,0.045000000000000005,4m,2.4000000000000004,0.8,1.5,424.0,1856.0,0.02,5m,1.8,0.2,1.0,416.0,1488.0,0.03,4m,1.6,0.4,1.0,664.0,1032.0,0.03,5m,3.0,0.4,2.0,376.0,,,,,,,,6640,0.015,1m,1.4,0.4,2.0,1024,3152,0.015,2m,3.0,0.4,0.5,488,,,,,,,,,,,,,,,2784,0.03,5m,1.2,0.8,1.5,504,,,,,,,,,,,,,,,3248,0.015,3m,2.8,0.2,1.5,448,6160,0.03,3m,1.6,0.8,1.5,392,2432,0.04,5m,2.0,0.6000000000000001,1.5,832,1688,0.02,5m,1.6,0.6000000000000001,1.5,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200,0.035,4m,2.0,0.4,1.5,416,4408,0.025,1m,1.4,0.8,0.5,744,6752,0.04,3m,2.4000000000000004,0.6000000000000001,0.5,656,1912.0,0.02,4m,1.8,0.2,0.5,704.0,4184.0,0.025,3m,1.6,1.0,2.0,256.0,1952.0,0.035,4m,1.8,1.0,1.0,600.0,,,,,,,,,,,,,,,0.35000000000000003,17,COMPLETE
31,31,1.0069574700088182,2025-06-22 16:16:06.057066,2025-06-22 16:16:28.515990,0 days 00:00:22.458924,5144.0,0.05,5m,2.2,0.6000000000000001,0.5,608.0,2536.0,0.01,5m,2.4000000000000004,0.8,1.5,352.0,6672.0,0.04,3m,2.2,0.4,1.5,392.0,2440.0,0.01,3m,1.6,0.6000000000000001,1.0,472.0,,,,,,,,2872,0.045000000000000005,1m,2.2,0.6000000000000001,1.0,432,7056,0.035,4m,1.2,0.2,1.0,352,3224.0,0.04,4m,3.0,0.4,2.0,528.0,2696.0,0.04,3m,2.0,0.6000000000000001,1.5,560.0,7952,0.04,3m,1.4,0.8,1.0,1008,,,,,,,,,,,,,,,2432,0.025,4m,2.4000000000000004,0.6000000000000001,0.5,544,2472,0.025,2m,1.4,0.8,1.5,320,1736,0.015,1m,2.2,0.2,0.5,960,3784,0.025,3m,2.4000000000000004,0.4,1.5,904,1264.0,0.04,3m,2.4000000000000004,0.4,1.5,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3216.0,0.04,3m,3.0,0.6000000000000001,1.5,568.0,3568,0.03,1m,1.6,0.6000000000000001,0.5,456,5136,0.02,1m,1.8,0.4,2.0,808,6240,0.04,5m,1.4,0.8,0.5,216,3256.0,0.02,1m,1.4,0.2,1.5,472.0,3856.0,0.025,2m,3.0,0.2,1.5,576.0,7200.0,0.01,1m,1.4,0.0,1.0,952.0,,,,,,,,,,,,,,,0.4,21,COMPLETE
32,32,0.978498783194395,2025-06-22 16:16:28.550979,2025-06-22 16:16:51.552844,0 days 00:00:23.001865,5832.0,0.04,5m,2.0,0.2,1.0,648.0,2072.0,0.01,1m,2.2,1.0,1.5,328.0,5968.0,0.04,3m,2.2,0.2,1.5,344.0,1880.0,0.01,3m,1.6,0.6000000000000001,0.5,248.0,,,,,,,,3472,0.04,1m,2.4000000000000004,0.6000000000000001,0.5,504,4784,0.035,4m,1.4,0.2,1.5,344,4824.0,0.015,4m,2.8,0.6000000000000001,2.0,608.0,2272.0,0.04,4m,2.6,0.4,1.5,696.0,1496,0.035,3m,1.4,1.0,0.5,888,,,,,,,,,,,,,,,4016,0.03,4m,2.4000000000000004,0.4,0.5,640,3440,0.015,2m,1.2,0.8,1.5,256,1400,0.025,1m,2.4000000000000004,0.2,0.5,864,3472,0.025,3m,2.0,0.2,1.5,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,0.03,3m,2.0,0.4,1.5,560.0,4480,0.03,1m,1.0,0.6000000000000001,0.5,520,6288,0.02,1m,2.2,0.2,2.0,928,6360,0.045000000000000005,5m,1.2,0.8,0.5,312,3064.0,0.015,1m,1.4,0.0,1.5,640.0,3160.0,0.015,2m,2.8,0.0,1.5,448.0,6152.0,0.01,1m,1.4,0.2,0.5,824.0,,,,,,,,,,,,,,,0.45,20,COMPLETE
33,33,1.007215922570074,2025-06-22 16:16:51.616758,2025-06-22 16:17:12.558877,0 days 00:00:20.942119,4640.0,0.045000000000000005,5m,2.4000000000000004,0.6000000000000001,1.5,560.0,3632.0,0.015,5m,2.8,1.0,1.5,560.0,4336.0,0.035,2m,2.8,0.0,2.0,568.0,2952.0,0.015,3m,1.8,0.8,2.0,528.0,,,,,,,,2112,0.025,4m,1.8,0.8,1.0,464,5936,0.03,4m,1.2,0.0,0.5,496,3792.0,0.025,4m,2.6,0.2,1.5,320.0,3488.0,0.035,5m,1.2,0.2,1.0,888.0,3704,0.03,1m,1.6,0.8,1.0,952,,,,,,,,1096.0,0.025,3m,1.6,1.0,1.5,312.0,3896,0.015,4m,2.2,0.6000000000000001,0.5,448,2912,0.015,2m,1.8,1.0,1.0,144,2528,0.045000000000000005,4m,2.4000000000000004,0.0,0.5,984,5080,0.025,3m,2.2,0.4,1.0,784,2096.0,0.045000000000000005,3m,2.2,0.2,1.5,824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4936.0,0.045000000000000005,3m,1.6,0.6000000000000001,1.5,216.0,3712,0.025,1m,1.4,0.8,1.5,352,5144,0.01,1m,1.2,0.6000000000000001,2.0,624,7680,0.035,4m,1.6,0.4,0.5,184,4160.0,0.015,2m,1.2,0.2,1.5,320.0,4576.0,0.025,3m,2.6,0.2,2.0,192.0,1456.0,0.015,1m,1.0,0.4,0.5,1024.0,,,,,,,,,,,,,,,0.25,22,COMPLETE
34,34,0.924093541708575,2025-06-22 16:17:12.598744,2025-06-22 16:17:35.740413,0 days 00:00:23.141669,2864.0,0.02,5m,1.8,1.0,0.5,720.0,1448.0,0.01,1m,2.4000000000000004,0.8,2.0,232.0,6360.0,0.045000000000000005,3m,2.4000000000000004,0.6000000000000001,1.5,496.0,4112.0,0.015,3m,1.4,0.6000000000000001,0.5,688.0,,,,,,,,3104,0.015,3m,2.4000000000000004,0.6000000000000001,0.5,360,2160,0.03,1m,1.6,0.0,1.5,584,2536.0,0.035,4m,3.0,0.4,2.0,512.0,1192.0,0.025,5m,2.2,0.0,2.0,544.0,5208,0.035,3m,1.2,0.6000000000000001,1.5,816,,,,,,,,7944.0,0.01,5m,2.6,0.2,1.0,736.0,1664,0.02,1m,2.6,0.4,0.5,752,4216,0.04,4m,1.2,0.6000000000000001,2.0,832,2984,0.02,1m,1.8,0.4,0.5,936,4592,0.03,4m,2.4000000000000004,0.6000000000000001,1.5,688,4280.0,0.04,3m,2.6,0.4,1.5,624.0,,,,,,,,5920.0,0.04,3m,1.8,0.4,2.0,792.0,,,,,,,,,,,,,,,2192.0,0.035,3m,1.0,0.8,1.0,720.0,5520,0.04,2m,1.8,0.6000000000000001,1.0,632,6312,0.025,5m,1.4,0.4,2.0,544,5832,0.03,5m,1.4,1.0,1.0,352,2056.0,0.025,1m,2.0,0.4,1.0,896.0,5640.0,0.035,5m,3.0,0.4,1.5,632.0,3872.0,0.02,3m,1.6,0.0,1.0,704.0,,,,,,,,6672.0,0.01,5m,3.0,1.0,0.5,136.0,0.35000000000000003,24,COMPLETE
35,35,0.9654800139524354,2025-06-22 16:17:35.817002,2025-06-22 16:17:58.677062,0 days 00:00:22.860060,7056.0,0.01,2m,2.2,0.4,2.0,456.0,2680.0,0.015,5m,1.2,1.0,0.5,408.0,3336.0,0.035,1m,1.8,0.4,1.5,328.0,1592.0,0.01,2m,2.0,0.8,1.0,608.0,,,,,,,,4288,0.03,1m,1.8,0.4,1.5,648,6728,0.04,5m,1.8,0.2,1.0,384,6184.0,0.015,3m,2.4000000000000004,0.0,1.5,680.0,2808.0,0.035,4m,1.8,0.6000000000000001,1.5,424.0,7352,0.045000000000000005,3m,1.8,0.4,1.0,968,,,,,,,,3248.0,0.05,5m,2.6,0.4,2.0,368.0,8040,0.035,2m,1.8,0.8,0.5,848,4728,0.035,2m,3.0,0.8,1.5,240,1512,0.02,4m,2.2,0.0,1.0,880,3808,0.035,2m,1.8,1.0,1.0,864,2088.0,0.045000000000000005,3m,2.0,0.6000000000000001,1.0,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3416.0,0.05,3m,1.2,0.6000000000000001,2.0,360.0,4296,0.03,5m,1.2,0.4,2.0,536,4224,0.03,1m,1.6,0.8,1.5,968,4928,0.04,4m,1.8,0.6000000000000001,0.5,264,4728.0,0.02,5m,1.6,0.0,1.5,808.0,2024.0,0.015,1m,2.2,0.0,2.0,304.0,3016.0,0.01,1m,1.2,0.8,0.5,280.0,,,,,,,,,,,,,,,0.5,22,COMPLETE
36,36,0.9031087838982086,2025-06-22 16:17:58.750333,2025-06-22 16:18:23.232185,0 days 00:00:24.481852,1688.0,0.035,5m,1.6,0.8,1.0,1008.0,3192.0,0.02,3m,1.8,0.6000000000000001,1.5,312.0,7320.0,0.04,3m,1.2,0.8,1.0,248.0,2368.0,0.025,1m,1.4,0.6000000000000001,1.5,192.0,,,,,,,,5472,0.045000000000000005,2m,1.4,0.0,1.5,560,1608,0.035,3m,1.0,0.0,1.5,296,4968.0,0.025,4m,1.8,0.2,2.0,864.0,3888.0,0.045000000000000005,3m,1.0,0.4,1.0,792.0,3104,0.03,1m,1.6,0.6000000000000001,0.5,840,,,,,,,,5424.0,0.03,3m,1.2,0.8,1.0,1024.0,2704,0.025,5m,2.4000000000000004,0.4,1.0,672,1832,0.035,2m,1.6,0.6000000000000001,1.0,320,1048,0.05,1m,2.8,0.2,1.0,784,5880,0.02,3m,2.0,0.2,2.0,952,1184.0,0.035,3m,2.6,0.2,2.0,1024.0,,,,,,,,1192.0,0.04,2m,1.6,0.2,1.0,128.0,8056.0,0.01,5m,1.0,1.0,2.0,184.0,,,,,,,,1848.0,0.035,3m,2.2,0.2,1.5,208.0,4784,0.035,1m,1.6,0.2,0.5,408,1800,0.02,4m,2.4000000000000004,0.2,1.5,816,3824,0.025,5m,1.2,1.0,1.5,728,3016.0,0.03,5m,1.2,0.2,2.0,368.0,3800.0,0.02,2m,2.8,0.2,1.0,408.0,2304.0,0.015,2m,2.0,0.4,0.5,528.0,,,,,,,,6808.0,0.01,2m,2.4000000000000004,0.4,1.5,440.0,0.1,25,COMPLETE
37,37,0.9711143442192245,2025-06-22 16:18:23.281134,2025-06-22 16:18:43.512903,0 days 00:00:20.231769,2528.0,0.025,2m,1.8,0.2,1.5,800.0,1384.0,0.02,5m,2.0,0.6000000000000001,1.5,440.0,5296.0,0.025,4m,3.0,0.6000000000000001,2.0,424.0,3464.0,0.02,5m,1.6,0.0,2.0,736.0,,,,,,,,3904,0.01,1m,2.0,0.6000000000000001,1.0,816,6072,0.05,4m,1.4,0.2,1.0,192,6336.0,0.05,5m,2.8,0.4,1.0,400.0,,,,,,,,4688,0.025,4m,2.2,0.8,1.5,912,,,,,,,,,,,,,,,3672,0.02,4m,1.6,0.6000000000000001,1.5,504,5496,0.03,4m,2.6,0.4,1.5,168,2128,0.035,5m,1.6,0.6000000000000001,1.0,616,2816,0.03,3m,1.4,0.0,0.5,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4344.0,0.045000000000000005,4m,1.2,0.4,1.5,640.0,2896,0.015,1m,1.2,0.2,1.0,920,2608,0.015,1m,1.0,0.4,0.5,688,7064,0.035,1m,1.6,0.8,1.0,128,3720.0,0.04,1m,1.6,0.4,1.0,680.0,6720.0,0.03,3m,2.2,0.4,1.5,136.0,7432.0,0.025,1m,1.4,0.2,1.5,544.0,,,,,,,,,,,,,,,0.25,19,COMPLETE
38,38,1.025887570698932,2025-06-22 16:18:43.555782,2025-06-22 16:19:12.385019,0 days 00:00:28.829237,3704.0,0.03,5m,2.6,0.0,1.0,696.0,2104.0,0.01,1m,2.0,0.8,2.0,528.0,5744.0,0.05,1m,2.0,0.2,1.5,608.0,6544.0,0.015,2m,1.2,0.2,0.5,1000.0,,,,,,,,3240,0.03,3m,2.6,0.8,0.5,312,2696,0.045000000000000005,1m,2.0,0.4,0.5,832,4192.0,0.04,2m,2.2,0.8,1.5,560.0,1928.0,0.045000000000000005,1m,2.8,0.2,2.0,624.0,2096,0.035,3m,2.6,0.6000000000000001,1.0,984,1760.0,0.05,1m,2.0,0.0,0.5,504.0,2728.0,0.02,4m,1.8,0.2,1.5,656.0,6104,0.03,2m,1.2,1.0,0.5,936,6992,0.04,2m,2.4000000000000004,0.2,2.0,520,2696,0.03,3m,2.4000000000000004,0.4,0.5,720,2120,0.025,2m,1.8,0.4,1.0,776,4240.0,0.045000000000000005,3m,2.2,0.8,1.5,592.0,,,,,,,,6360.0,0.02,5m,3.0,0.2,1.5,1000.0,4608.0,0.01,4m,1.6,0.4,1.0,448.0,2040.0,0.01,4m,1.0,0.0,2.0,248.0,3096.0,0.025,1m,1.6,0.8,2.0,488.0,1048,0.045000000000000005,5m,1.4,0.4,1.5,720,4960,0.025,3m,2.6,1.0,2.0,872,6704,0.05,5m,1.8,0.4,0.5,560,3904.0,0.045000000000000005,4m,2.4000000000000004,0.0,0.5,608.0,2416.0,0.025,3m,2.6,0.6000000000000001,2.0,264.0,3056.0,0.02,1m,2.0,1.0,1.0,928.0,,,,,,,,5904.0,0.04,3m,2.0,1.0,2.0,328.0,0.3,27,COMPLETE
