,number,value,datetime_start,datetime_complete,duration,params_ADBE_BIIB_beta_win,params_ADBE_BIIB_stop_loss,params_ADBE_BIIB_trade_freq,params_ADBE_BIIB_z_entry,params_ADBE_BIIB_z_exit,params_ADBE_BIIB_z_stop_scaler,params_ADBE_BIIB_z_win,params_AEP_JD_beta_win,params_AEP_JD_stop_loss,params_AEP_JD_trade_freq,params_AEP_JD_z_entry,params_AEP_JD_z_exit,params_AEP_JD_z_stop_scaler,params_AEP_JD_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_COST_ORLY_beta_win,params_COST_ORLY_stop_loss,params_COST_ORLY_trade_freq,params_COST_ORLY_z_entry,params_COST_ORLY_z_exit,params_COST_ORLY_z_stop_scaler,params_COST_ORLY_z_win,params_CTSH_ORLY_beta_win,params_CTSH_ORLY_stop_loss,params_CTSH_ORLY_trade_freq,params_CTSH_ORLY_z_entry,params_CTSH_ORLY_z_exit,params_CTSH_ORLY_z_stop_scaler,params_CTSH_ORLY_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_DOCU_HON_beta_win,params_DOCU_HON_stop_loss,params_DOCU_HON_trade_freq,params_DOCU_HON_z_entry,params_DOCU_HON_z_exit,params_DOCU_HON_z_stop_scaler,params_DOCU_HON_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
75,75,1.1980002691330456,2025-06-22 17:07:05.636993,2025-06-22 17:07:12.463671,0 days 00:00:06.826678,7144.0,0.035,2m,1.4,0.4,1.5,248.0,,,,,,,,5456,0.01,8m,1.2,0.6000000000000001,2.0,672,,,,,,,,4568.0,0.025,6m,3.0,0.8,0.5,168.0,,,,,,,,7360.0,0.015,9m,2.4000000000000004,0.2,1.0,464.0,,,,,,,,7648.0,0.025,6m,2.0,0.8,1.0,488.0,4144.0,0.025,7m,2.2,0.6000000000000001,1.5,696.0,0.1,6,COMPLETE
76,76,1.1566069002704418,2025-06-22 17:07:12.499872,2025-06-22 17:07:18.718507,0 days 00:00:06.218635,8184.0,0.035,2m,1.4,0.6000000000000001,1.5,200.0,,,,,,,,4928,0.01,8m,1.2,0.6000000000000001,2.0,664,,,,,,,,4128.0,0.025,6m,3.0,0.8,0.5,128.0,,,,,,,,,,,,,,,,,,,,,,6624.0,0.025,6m,2.0,0.8,1.0,496.0,4136.0,0.025,7m,2.2,0.6000000000000001,1.5,752.0,0.1,5,COMPLETE
77,77,1.038708260379171,2025-06-22 17:07:18.744025,2025-06-22 17:07:23.163877,0 days 00:00:04.419852,,,,,,,,,,,,,,,4896,0.01,8m,1.2,0.6000000000000001,2.0,616,,,,,,,,4648.0,0.025,6m,3.0,0.8,0.5,160.0,,,,,,,,,,,,,,,,,,,,,,6496.0,0.025,6m,2.0,0.8,1.0,448.0,4392.0,0.025,7m,2.2,0.8,1.5,656.0,0.1,4,COMPLETE
78,78,1.1356984602851774,2025-06-22 17:07:23.254912,2025-06-22 17:07:29.567890,0 days 00:00:06.312978,8112.0,0.035,2m,1.4,0.6000000000000001,1.5,192.0,,,,,,,,4600,0.01,8m,1.4,0.6000000000000001,2.0,736,,,,,,,,4072.0,0.025,6m,3.0,0.8,0.5,136.0,,,,,,,,,,,,,,,,,,,,,,5936.0,0.025,6m,2.0,0.8,1.0,496.0,4200.0,0.025,7m,2.4000000000000004,0.6000000000000001,1.5,760.0,0.1,5,COMPLETE
79,79,1.1464657808618524,2025-06-22 17:07:29.753621,2025-06-22 17:07:38.912068,0 days 00:00:09.158447,8184.0,0.04,2m,1.2,0.6000000000000001,1.5,256.0,,,,,,,,4192,0.01,8m,1.2,0.6000000000000001,1.5,672,,,,,,,,4832.0,0.025,6m,3.0,0.8,0.5,168.0,,,,,,,,,,,,,,,,,,,,,,5480.0,0.03,6m,2.2,0.8,1.0,512.0,3368.0,0.02,7m,2.2,0.6000000000000001,1.5,568.0,0.15000000000000002,5,COMPLETE
80,80,0.9748808557272385,2025-06-22 17:07:38.945697,2025-06-22 17:07:45.950186,0 days 00:00:07.004489,2688.0,0.035,2m,1.0,1.0,1.5,184.0,,,,,,,,5472,0.015,8m,1.2,0.4,2.0,768,,,,,,,,6336.0,0.025,6m,2.8,1.0,0.5,232.0,,,,,,,,7400.0,0.015,9m,2.4000000000000004,0.2,1.0,352.0,,,,,,,,6616.0,0.025,6m,2.0,0.8,1.0,416.0,3640.0,0.025,7m,2.4000000000000004,0.6000000000000001,1.5,704.0,0.4,6,COMPLETE
81,81,1.1262169834605371,2025-06-22 17:07:45.985167,2025-06-22 17:07:52.777911,0 days 00:00:06.792744,7104.0,0.04,2m,1.2,0.4,1.5,368.0,,,,,,,,5544,0.01,8m,1.0,0.8,2.0,656,,,,,,,,4488.0,0.025,6m,3.0,0.8,0.5,128.0,,,,,,,,1176.0,0.015,9m,2.6,0.0,1.5,448.0,,,,,,,,7536.0,0.025,6m,2.0,0.8,1.0,632.0,4096.0,0.025,7m,2.0,0.6000000000000001,1.5,744.0,0.1,6,COMPLETE
82,82,1.1926182001466403,2025-06-22 17:07:52.805835,2025-06-22 17:07:58.707383,0 days 00:00:05.901548,7536.0,0.035,2m,1.4,0.4,1.5,224.0,,,,,,,,5256,0.015,8m,1.2,0.6000000000000001,2.0,560,,,,,,,,4176.0,0.025,6m,2.8,0.6000000000000001,0.5,152.0,,,,,,,,,,,,,,,,,,,,,,6296.0,0.03,6m,1.8,0.8,1.0,472.0,4456.0,0.025,7m,2.2,0.6000000000000001,1.5,688.0,0.05,5,COMPLETE
83,83,1.0460227612630726,2025-06-22 17:07:58.774992,2025-06-22 17:08:03.348129,0 days 00:00:04.573137,,,,,,,,,,,,,,,4976,0.015,8m,1.2,0.6000000000000001,2.0,560,,,,,,,,3504.0,0.02,6m,2.8,0.6000000000000001,0.5,200.0,,,,,,,,,,,,,,,,,,,,,,6352.0,0.03,6m,1.8,0.8,1.0,464.0,3000.0,0.025,7m,2.2,0.6000000000000001,1.5,128.0,0.05,4,COMPLETE
84,84,1.1748000635407247,2025-06-22 17:08:03.393971,2025-06-22 17:08:09.874351,0 days 00:00:06.480380,7536.0,0.035,2m,1.4,0.6000000000000001,1.5,224.0,,,,,,,,4376,0.01,8m,1.4,0.6000000000000001,2.0,704,,,,,,,,3176.0,0.025,6m,2.8,0.6000000000000001,0.5,264.0,,,,,,,,,,,,,,,,,,,,,,4088.0,0.03,6m,2.2,1.0,1.0,368.0,4456.0,0.02,7m,2.2,0.8,1.5,696.0,0.1,5,COMPLETE
85,85,1.1312656497758218,2025-06-22 17:08:09.905990,2025-06-22 17:08:15.985246,0 days 00:00:06.079256,7832.0,0.035,2m,1.4,0.4,1.5,232.0,,,,,,,,3784,0.01,8m,1.4,0.6000000000000001,1.0,704,,,,,,,,2936.0,0.025,6m,2.8,0.6000000000000001,0.5,144.0,,,,,,,,,,,,,,,,,,,,,,4312.0,0.03,6m,2.0,1.0,1.0,368.0,4496.0,0.02,7m,2.2,0.8,1.5,696.0,0.1,5,COMPLETE
86,86,1.0510437244179118,2025-06-22 17:08:16.049334,2025-06-22 17:08:20.604471,0 days 00:00:04.555137,,,,,,,,,,,,,,,4400,0.01,8m,1.4,0.4,2.0,656,,,,,,,,3232.0,0.025,6m,3.0,0.6000000000000001,0.5,176.0,,,,,,,,,,,,,,,,,,,,,,3656.0,0.025,6m,1.6,1.0,1.0,496.0,4840.0,0.015,7m,2.4000000000000004,0.8,1.5,640.0,0.15000000000000002,4,COMPLETE
87,87,1.111780320982383,2025-06-22 17:08:20.677089,2025-06-22 17:08:29.447868,0 days 00:00:08.770779,7568.0,0.035,2m,1.4,0.4,1.5,328.0,,,,,,,,4000,0.015,8m,1.4,0.6000000000000001,2.0,744,,,,,,,,4224.0,0.02,6m,3.0,0.8,0.5,256.0,,,,,,,,,,,,,,,,,,,,,,3248.0,0.03,6m,2.0,1.0,1.0,472.0,1144.0,0.02,7m,2.6,1.0,1.5,528.0,0.1,5,COMPLETE
88,88,1.1189979462947548,2025-06-22 17:08:29.488538,2025-06-22 17:08:35.728566,0 days 00:00:06.240028,7304.0,0.03,2m,1.2,0.6000000000000001,1.5,192.0,,,,,,,,5272,0.01,8m,1.8,0.6000000000000001,2.0,624,,,,,,,,3256.0,0.02,6m,2.8,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,4096.0,0.035,6m,1.8,0.8,1.0,440.0,3800.0,0.015,7m,2.2,0.8,1.5,592.0,0.1,5,COMPLETE
89,89,1.1705761856283505,2025-06-22 17:08:35.767673,2025-06-22 17:08:42.113155,0 days 00:00:06.345482,7856.0,0.04,2m,1.4,0.4,2.0,128.0,,,,,,,,4568,0.015,5m,1.6,0.6000000000000001,2.0,688,,,,,,,,3880.0,0.025,6m,3.0,1.0,0.5,216.0,,,,,,,,,,,,,,,,,,,,,,4712.0,0.025,6m,2.2,1.0,1.0,384.0,4544.0,0.02,7m,2.4000000000000004,0.6000000000000001,1.0,656.0,0.2,5,COMPLETE
90,90,1.0111284992613965,2025-06-22 17:08:42.152052,2025-06-22 17:08:44.811072,0 days 00:00:02.659020,,,,,,,,,,,,,,,4448,0.015,5m,1.6,0.4,2.0,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4632.0,0.03,6m,2.2,1.0,1.0,344.0,,,,,,,,0.3,2,COMPLETE
91,91,1.101475144908208,2025-06-22 17:08:44.849440,2025-06-22 17:08:51.334518,0 days 00:00:06.485078,7768.0,0.04,2m,1.4,0.4,2.0,128.0,,,,,,,,4640,0.015,5m,2.0,0.6000000000000001,2.0,688,,,,,,,,3856.0,0.025,6m,3.0,1.0,0.5,208.0,,,,,,,,,,,,,,,,,,,,,,5168.0,0.025,6m,2.2,1.0,1.0,416.0,4120.0,0.02,7m,2.4000000000000004,0.6000000000000001,1.0,640.0,0.2,5,COMPLETE
92,92,1.1096018704380035,2025-06-22 17:08:51.352115,2025-06-22 17:08:58.642068,0 days 00:00:07.289953,7456.0,0.045000000000000005,2m,1.4,0.4,2.0,168.0,,,,,,,,3488,0.01,5m,1.2,0.6000000000000001,2.0,560,,,,,,,,3584.0,0.025,6m,2.8,1.0,0.5,152.0,,,,,,,,8192.0,0.01,9m,2.4000000000000004,0.0,2.0,336.0,,,,,,,,4320.0,0.025,6m,1.4,1.0,1.0,368.0,4472.0,0.02,7m,2.2,0.6000000000000001,1.0,672.0,0.2,6,COMPLETE
93,93,1.0318629427738553,2025-06-22 17:08:58.677254,2025-06-22 17:09:03.040231,0 days 00:00:04.362977,,,,,,,,,,,,,,,4816,0.02,8m,1.6,0.6000000000000001,2.0,768,,,,,,,,4080.0,0.025,6m,3.0,0.6000000000000001,0.5,184.0,,,,,,,,,,,,,,,,,,,,,,4760.0,0.025,6m,2.0,0.8,1.0,384.0,4632.0,0.025,7m,2.4000000000000004,0.6000000000000001,1.0,720.0,0.15000000000000002,4,COMPLETE
94,94,1.2016819170327215,2025-06-22 17:09:03.063772,2025-06-22 17:09:09.643900,0 days 00:00:06.580128,7928.0,0.04,2m,1.4,0.4,2.0,216.0,,,,,,,,4088,0.01,5m,1.2,0.6000000000000001,2.0,600,,,,,,,,8096.0,0.025,6m,3.0,0.8,0.5,808.0,,,,,,,,,,,,,,,,,,,,,,5584.0,0.025,5m,2.2,0.8,1.0,592.0,5304.0,0.025,8m,2.6,0.8,1.5,744.0,0.25,5,COMPLETE
95,95,1.0793324752651345,2025-06-22 17:09:09.684391,2025-06-22 17:09:16.846860,0 days 00:00:07.162469,7888.0,0.04,2m,1.6,0.4,2.0,264.0,,,,,,,,4080,0.015,5m,1.4,0.6000000000000001,2.0,632,,,,,,,,3104.0,0.02,5m,2.8,1.0,0.5,832.0,,,,,,,,7768.0,0.015,9m,2.8,0.2,1.0,384.0,,,,,,,,5160.0,0.035,5m,2.4000000000000004,1.0,1.0,328.0,5216.0,0.02,8m,2.8,0.8,1.0,696.0,0.25,6,COMPLETE
96,96,1.1173432497884788,2025-06-22 17:09:16.899488,2025-06-22 17:09:23.549921,0 days 00:00:06.650433,7272.0,0.035,2m,1.2,0.4,2.0,224.0,,,,,,,,3808,0.02,5m,1.4,0.4,2.0,600,,,,,,,,6968.0,0.025,6m,3.0,0.4,0.5,752.0,,,,,,,,,,,,,,,,,,,,,,5656.0,0.02,5m,2.2,0.8,1.5,592.0,4952.0,0.025,8m,2.8,1.0,1.5,680.0,0.3,5,COMPLETE
97,97,1.1831225215515602,2025-06-22 17:09:23.575687,2025-06-22 17:09:30.629412,0 days 00:00:07.053725,7504.0,0.04,2m,1.6,0.4,2.0,520.0,,,,,,,,2856,0.015,5m,1.2,0.6000000000000001,2.0,1016,,,,,,,,8136.0,0.025,7m,2.8,0.6000000000000001,0.5,944.0,,,,,,,,4328.0,0.01,9m,2.6,0.4,1.5,272.0,,,,,,,,4776.0,0.03,7m,1.6,0.6000000000000001,1.0,664.0,5616.0,0.02,8m,2.6,0.8,1.0,616.0,0.25,6,COMPLETE
98,98,1.1316169718252744,2025-06-22 17:09:30.661429,2025-06-22 17:09:37.207287,0 days 00:00:06.545858,7576.0,0.04,2m,1.6,0.2,2.0,536.0,,,,,,,,2768,0.01,5m,1.2,0.6000000000000001,2.0,536,,,,,,,,7928.0,0.02,7m,2.8,0.6000000000000001,0.5,960.0,,,,,,,,,,,,,,,,,,,,,,4112.0,0.025,7m,1.6,0.6000000000000001,1.0,544.0,5728.0,0.02,8m,2.6,0.8,1.5,624.0,0.25,5,COMPLETE
99,99,1.1217967816453212,2025-06-22 17:09:37.232842,2025-06-22 17:09:44.167125,0 days 00:00:06.934283,7072.0,0.045000000000000005,2m,1.4,0.4,2.0,304.0,,,,,,,,1912,0.015,5m,1.4,0.6000000000000001,1.5,584,,,,,,,,8168.0,0.025,7m,2.8,0.6000000000000001,0.5,936.0,,,,,,,,4368.0,0.01,9m,2.2,0.4,1.5,160.0,,,,,,,,4480.0,0.02,7m,1.8,0.6000000000000001,1.0,576.0,5328.0,0.02,8m,2.8,0.8,0.5,576.0,0.25,6,COMPLETE
