,number,value,datetime_start,datetime_complete,duration,params_ADBE_BIIB_beta_win,params_ADBE_BIIB_stop_loss,params_ADBE_BIIB_trade_freq,params_ADBE_BIIB_z_entry,params_ADBE_BIIB_z_exit,params_ADBE_BIIB_z_stop_scaler,params_ADBE_BIIB_z_win,params_AEP_JD_beta_win,params_AEP_JD_stop_loss,params_AEP_JD_trade_freq,params_AEP_JD_z_entry,params_AEP_JD_z_exit,params_AEP_JD_z_stop_scaler,params_AEP_JD_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_COST_ORLY_beta_win,params_COST_ORLY_stop_loss,params_COST_ORLY_trade_freq,params_COST_ORLY_z_entry,params_COST_ORLY_z_exit,params_COST_ORLY_z_stop_scaler,params_COST_ORLY_z_win,params_CTSH_ORLY_beta_win,params_CTSH_ORLY_stop_loss,params_CTSH_ORLY_trade_freq,params_CTSH_ORLY_z_entry,params_CTSH_ORLY_z_exit,params_CTSH_ORLY_z_stop_scaler,params_CTSH_ORLY_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_DOCU_HON_beta_win,params_DOCU_HON_stop_loss,params_DOCU_HON_trade_freq,params_DOCU_HON_z_entry,params_DOCU_HON_z_exit,params_DOCU_HON_z_stop_scaler,params_DOCU_HON_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,0.951471285654833,2025-06-22 16:59:26.741539,2025-06-22 16:59:33.444999,0 days 00:00:06.703460,,,,,,,,,,,,,,,3936,0.045000000000000005,4m,1.6,0.0,1.5,280,,,,,,,,3720.0,0.045000000000000005,3m,2.6,0.4,0.5,392.0,,,,,,,,,,,,,,,,,,,,,,7992.0,0.025,5m,2.2,0.8,1.0,512.0,5448.0,0.01,2m,1.6,1.0,1.5,440.0,0.05,4,COMPLETE
21,21,1.1230976517340634,2025-06-22 16:59:33.471900,2025-06-22 16:59:43.064916,0 days 00:00:09.593016,4816.0,0.01,3m,1.8,0.6000000000000001,1.0,856.0,,,,,,,,4856,0.04,4m,1.0,0.0,1.5,464,,,,,,,,5496.0,0.04,3m,2.8,0.2,0.5,248.0,,,,,,,,5744.0,0.03,4m,2.0,0.8,1.0,848.0,,,,,,,,7472.0,0.035,4m,2.4000000000000004,0.6000000000000001,0.5,320.0,3880.0,0.02,2m,1.8,0.8,1.5,760.0,0.1,6,COMPLETE
22,22,1.1156157597736087,2025-06-22 16:59:43.101493,2025-06-22 16:59:52.259889,0 days 00:00:09.158396,4960.0,0.01,3m,1.6,0.8,1.0,832.0,,,,,,,,6000,0.04,4m,1.4,0.0,1.5,440,,,,,,,,5304.0,0.04,3m,2.8,0.0,0.5,216.0,,,,,,,,5936.0,0.03,4m,2.0,0.8,1.0,848.0,,,,,,,,6536.0,0.035,4m,2.4000000000000004,0.6000000000000001,0.5,304.0,4016.0,0.02,2m,1.6,0.6000000000000001,1.5,744.0,0.1,6,COMPLETE
23,23,1.1455987929467384,2025-06-22 16:59:52.287713,2025-06-22 17:00:01.723896,0 days 00:00:09.436183,5816.0,0.01,3m,1.6,0.4,1.0,840.0,,,,,,,,6104,0.035,4m,1.4,0.0,2.0,448,,,,,,,,5304.0,0.04,3m,2.6,0.0,0.5,184.0,,,,,,,,5864.0,0.03,4m,2.0,0.8,1.0,872.0,,,,,,,,8192.0,0.03,4m,2.4000000000000004,0.8,0.5,296.0,3768.0,0.02,2m,1.8,0.6000000000000001,1.5,704.0,0.05,6,COMPLETE
24,24,0.9868701688764705,2025-06-22 17:00:01.759726,2025-06-22 17:00:08.034646,0 days 00:00:06.274920,,,,,,,,,,,,,,,4416,0.035,4m,1.2,0.0,2.0,512,,,,,,,,4840.0,0.045000000000000005,3m,2.6,0.0,0.5,368.0,,,,,,,,,,,,,,,,,,,,,,8144.0,0.035,8m,2.4000000000000004,0.8,1.0,216.0,3880.0,0.02,2m,2.0,0.6000000000000001,1.5,616.0,0.05,4,COMPLETE
25,25,1.0419904427846054,2025-06-22 17:00:08.067959,2025-06-22 17:00:16.801950,0 days 00:00:08.733991,5952.0,0.01,3m,1.6,0.4,1.0,832.0,,,,,,,,6232,0.045000000000000005,4m,1.6,0.0,2.0,256,,,,,,,,3952.0,0.04,3m,2.2,0.0,0.5,456.0,,,,,,,,5640.0,0.03,4m,1.8,0.8,0.5,896.0,,,,,,,,1200.0,0.03,6m,2.6,0.8,0.5,352.0,2424.0,0.01,2m,1.8,0.8,1.5,504.0,0.05,6,COMPLETE
26,26,1.0589028057991208,2025-06-22 17:00:16.857294,2025-06-22 17:00:22.615762,0 days 00:00:05.758468,4168.0,0.015,3m,1.6,0.2,1.0,1016.0,,,,,,,,4776,0.035,4m,1.4,0.2,2.0,416,,,,,,,,5264.0,0.035,8m,2.8,0.2,1.0,192.0,,,,,,,,,,,,,,,,,,,,,,7480.0,0.035,9m,2.2,0.6000000000000001,0.5,224.0,5240.0,0.02,8m,1.4,0.4,1.5,720.0,0.1,5,COMPLETE
27,27,1.0101753223673346,2025-06-22 17:00:22.663616,2025-06-22 17:00:30.360354,0 days 00:00:07.696738,6000.0,0.015,3m,2.0,0.6000000000000001,1.0,768.0,,,,,,,,3928,0.045000000000000005,4m,1.0,0.0,1.5,248,,,,,,,,7200.0,0.045000000000000005,6m,2.4000000000000004,0.6000000000000001,0.5,328.0,,,,,,,,5672.0,0.035,4m,2.0,0.8,1.0,888.0,,,,,,,,7568.0,0.02,4m,2.4000000000000004,0.8,1.0,160.0,4256.0,0.01,5m,2.0,0.8,2.0,616.0,0.05,6,COMPLETE
28,28,1.019633204443487,2025-06-22 17:00:30.410407,2025-06-22 17:00:35.406419,0 days 00:00:04.996012,,,,,,,,,,,,,,,7568,0.03,7m,1.2,0.2,2.0,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6128.0,0.045000000000000005,3m,2.2,1.0,0.5,400.0,2336.0,0.025,2m,1.4,0.6000000000000001,1.5,904.0,0.1,3,COMPLETE
29,29,0.984933888119793,2025-06-22 17:00:35.442722,2025-06-22 17:00:42.863901,0 days 00:00:07.421179,6968.0,0.02,9m,1.4,0.2,0.5,928.0,,,,,,,,7328,0.025,9m,1.8,0.0,1.5,624,,,,,,,,3048.0,0.05,2m,2.8,0.4,0.5,648.0,,,,,,,,,,,,,,,,,,,,,,3488.0,0.035,4m,1.8,0.6000000000000001,1.0,248.0,4936.0,0.015,2m,1.8,0.8,1.5,376.0,0.15000000000000002,5,COMPLETE
