,number,value,datetime_start,datetime_complete,duration,params_AAPL_CDW_beta_win,params_AAPL_CDW_stop_loss,params_AAPL_CDW_trade_freq,params_AAPL_CDW_z_entry,params_AAPL_CDW_z_exit,params_AAPL_CDW_z_stop_scaler,params_AAPL_CDW_z_win,params_ADP_PDD_beta_win,params_ADP_PDD_stop_loss,params_ADP_PDD_trade_freq,params_ADP_PDD_z_entry,params_ADP_PDD_z_exit,params_ADP_PDD_z_stop_scaler,params_ADP_PDD_z_win,params_ADSK_QCOM_beta_win,params_ADSK_QCOM_stop_loss,params_ADSK_QCOM_trade_freq,params_ADSK_QCOM_z_entry,params_ADSK_QCOM_z_exit,params_ADSK_QCOM_z_stop_scaler,params_ADSK_QCOM_z_win,params_ALGN_EA_beta_win,params_ALGN_EA_stop_loss,params_ALGN_EA_trade_freq,params_ALGN_EA_z_entry,params_ALGN_EA_z_exit,params_ALGN_EA_z_stop_scaler,params_ALGN_EA_z_win,params_ALGN_QCOM_beta_win,params_ALGN_QCOM_stop_loss,params_ALGN_QCOM_trade_freq,params_ALGN_QCOM_z_entry,params_ALGN_QCOM_z_exit,params_ALGN_QCOM_z_stop_scaler,params_ALGN_QCOM_z_win,params_AMD_QCOM_beta_win,params_AMD_QCOM_stop_loss,params_AMD_QCOM_trade_freq,params_AMD_QCOM_z_entry,params_AMD_QCOM_z_exit,params_AMD_QCOM_z_stop_scaler,params_AMD_QCOM_z_win,params_AVGO_QCOM_beta_win,params_AVGO_QCOM_stop_loss,params_AVGO_QCOM_trade_freq,params_AVGO_QCOM_z_entry,params_AVGO_QCOM_z_exit,params_AVGO_QCOM_z_stop_scaler,params_AVGO_QCOM_z_win,params_BIDU_CSCO_beta_win,params_BIDU_CSCO_stop_loss,params_BIDU_CSCO_trade_freq,params_BIDU_CSCO_z_entry,params_BIDU_CSCO_z_exit,params_BIDU_CSCO_z_stop_scaler,params_BIDU_CSCO_z_win,params_CMCSA_WDAY_beta_win,params_CMCSA_WDAY_stop_loss,params_CMCSA_WDAY_trade_freq,params_CMCSA_WDAY_z_entry,params_CMCSA_WDAY_z_exit,params_CMCSA_WDAY_z_stop_scaler,params_CMCSA_WDAY_z_win,params_DLTR_VRTX_beta_win,params_DLTR_VRTX_stop_loss,params_DLTR_VRTX_trade_freq,params_DLTR_VRTX_z_entry,params_DLTR_VRTX_z_exit,params_DLTR_VRTX_z_stop_scaler,params_DLTR_VRTX_z_win,params_DOCU_ILMN_beta_win,params_DOCU_ILMN_stop_loss,params_DOCU_ILMN_trade_freq,params_DOCU_ILMN_z_entry,params_DOCU_ILMN_z_exit,params_DOCU_ILMN_z_stop_scaler,params_DOCU_ILMN_z_win,params_DOCU_TEAM_beta_win,params_DOCU_TEAM_stop_loss,params_DOCU_TEAM_trade_freq,params_DOCU_TEAM_z_entry,params_DOCU_TEAM_z_exit,params_DOCU_TEAM_z_stop_scaler,params_DOCU_TEAM_z_win,params_FB_PCAR_beta_win,params_FB_PCAR_stop_loss,params_FB_PCAR_trade_freq,params_FB_PCAR_z_entry,params_FB_PCAR_z_exit,params_FB_PCAR_z_stop_scaler,params_FB_PCAR_z_win,params_FISV_VRTX_beta_win,params_FISV_VRTX_stop_loss,params_FISV_VRTX_trade_freq,params_FISV_VRTX_z_entry,params_FISV_VRTX_z_exit,params_FISV_VRTX_z_stop_scaler,params_FISV_VRTX_z_win,params_FOXA_QCOM_beta_win,params_FOXA_QCOM_stop_loss,params_FOXA_QCOM_trade_freq,params_FOXA_QCOM_z_entry,params_FOXA_QCOM_z_exit,params_FOXA_QCOM_z_stop_scaler,params_FOXA_QCOM_z_win,params_FOX_QCOM_beta_win,params_FOX_QCOM_stop_loss,params_FOX_QCOM_trade_freq,params_FOX_QCOM_z_entry,params_FOX_QCOM_z_exit,params_FOX_QCOM_z_stop_scaler,params_FOX_QCOM_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_GOOGL_PCAR_beta_win,params_GOOGL_PCAR_stop_loss,params_GOOGL_PCAR_trade_freq,params_GOOGL_PCAR_z_entry,params_GOOGL_PCAR_z_exit,params_GOOGL_PCAR_z_stop_scaler,params_GOOGL_PCAR_z_win,params_GOOG_PCAR_beta_win,params_GOOG_PCAR_stop_loss,params_GOOG_PCAR_trade_freq,params_GOOG_PCAR_z_entry,params_GOOG_PCAR_z_exit,params_GOOG_PCAR_z_stop_scaler,params_GOOG_PCAR_z_win,params_ILMN_MTCH_beta_win,params_ILMN_MTCH_stop_loss,params_ILMN_MTCH_trade_freq,params_ILMN_MTCH_z_entry,params_ILMN_MTCH_z_exit,params_ILMN_MTCH_z_stop_scaler,params_ILMN_MTCH_z_win,params_ILMN_TEAM_beta_win,params_ILMN_TEAM_stop_loss,params_ILMN_TEAM_trade_freq,params_ILMN_TEAM_z_entry,params_ILMN_TEAM_z_exit,params_ILMN_TEAM_z_stop_scaler,params_ILMN_TEAM_z_win,params_ILMN_VRTX_beta_win,params_ILMN_VRTX_stop_loss,params_ILMN_VRTX_trade_freq,params_ILMN_VRTX_z_entry,params_ILMN_VRTX_z_exit,params_ILMN_VRTX_z_stop_scaler,params_ILMN_VRTX_z_win,params_INTU_VRTX_beta_win,params_INTU_VRTX_stop_loss,params_INTU_VRTX_trade_freq,params_INTU_VRTX_z_entry,params_INTU_VRTX_z_exit,params_INTU_VRTX_z_stop_scaler,params_INTU_VRTX_z_win,params_NVDA_VRTX_beta_win,params_NVDA_VRTX_stop_loss,params_NVDA_VRTX_trade_freq,params_NVDA_VRTX_z_entry,params_NVDA_VRTX_z_exit,params_NVDA_VRTX_z_stop_scaler,params_NVDA_VRTX_z_win,params_PCAR_CDW_beta_win,params_PCAR_CDW_stop_loss,params_PCAR_CDW_trade_freq,params_PCAR_CDW_z_entry,params_PCAR_CDW_z_exit,params_PCAR_CDW_z_stop_scaler,params_PCAR_CDW_z_win,params_PCAR_PAYX_beta_win,params_PCAR_PAYX_stop_loss,params_PCAR_PAYX_trade_freq,params_PCAR_PAYX_z_entry,params_PCAR_PAYX_z_exit,params_PCAR_PAYX_z_stop_scaler,params_PCAR_PAYX_z_win,params_PCAR_VRTX_beta_win,params_PCAR_VRTX_stop_loss,params_PCAR_VRTX_trade_freq,params_PCAR_VRTX_z_entry,params_PCAR_VRTX_z_exit,params_PCAR_VRTX_z_stop_scaler,params_PCAR_VRTX_z_win,params_PYPL_QCOM_beta_win,params_PYPL_QCOM_stop_loss,params_PYPL_QCOM_trade_freq,params_PYPL_QCOM_z_entry,params_PYPL_QCOM_z_exit,params_PYPL_QCOM_z_stop_scaler,params_PYPL_QCOM_z_win,params_REGN_CTAS_beta_win,params_REGN_CTAS_stop_loss,params_REGN_CTAS_trade_freq,params_REGN_CTAS_z_entry,params_REGN_CTAS_z_exit,params_REGN_CTAS_z_stop_scaler,params_REGN_CTAS_z_win,params_TEAM_VRTX_beta_win,params_TEAM_VRTX_stop_loss,params_TEAM_VRTX_trade_freq,params_TEAM_VRTX_z_entry,params_TEAM_VRTX_z_exit,params_TEAM_VRTX_z_stop_scaler,params_TEAM_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
22,22,1.0208971558128408,2025-06-22 16:15:08.821934,2025-06-22 16:15:37.376542,0 days 00:00:28.554608,4200.0,0.04,2m,1.4,0.8,1.5,896.0,4008,0.015,4m,2.8,0.6000000000000001,1.5,344,1944,0.035,1m,2.2,0.6000000000000001,2.0,464,5272.0,0.03,3m,1.2,0.6000000000000001,1.0,744.0,6248.0,0.03,2m,1.8,0.4,0.5,544.0,6976,0.035,5m,2.8,0.4,0.5,400,4456.0,0.02,4m,1.2,0.2,1.0,800.0,5904,0.02,2m,2.8,0.6000000000000001,2.0,608,6976.0,0.045000000000000005,4m,2.2,0.2,2.0,136.0,,,,,,,,4408.0,0.015,1m,2.8,1.0,1.0,256.0,2536.0,0.02,3m,1.6,0.6000000000000001,0.5,352.0,4888.0,0.025,4m,1.2,0.8,1.5,616.0,3168,0.045000000000000005,2m,2.8,0.4,0.5,928,4392.0,0.035,1m,3.0,0.6000000000000001,0.5,784.0,4264,0.015,4m,1.8,0.4,1.5,312,7616.0,0.045000000000000005,2m,1.4,0.4,0.5,840.0,5808,0.02,4m,1.2,0.2,0.5,696,4312,0.035,1m,2.2,0.2,1.5,808,,,,,,,,,,,,,,,2648.0,0.05,1m,3.0,0.8,1.5,128.0,1928.0,0.015,4m,1.4,0.2,0.5,872.0,,,,,,,,8144.0,0.015,2m,3.0,1.0,1.5,888.0,1912.0,0.045000000000000005,1m,1.2,0.8,1.5,1024.0,7008.0,0.025,2m,1.8,0.8,0.5,584.0,2800,0.035,4m,2.2,0.6000000000000001,1.5,688,2936,0.025,1m,1.8,0.0,2.0,608,1768.0,0.035,1m,1.8,0.8,1.0,936.0,0.2,26,COMPLETE
23,23,0.9766043575673505,2025-06-22 16:15:37.421360,2025-06-22 16:16:03.064213,0 days 00:00:25.642853,3448.0,0.045000000000000005,2m,2.4000000000000004,0.8,2.0,896.0,3840,0.01,4m,2.8,0.4,2.0,344,4016,0.04,4m,2.2,0.6000000000000001,2.0,448,3608.0,0.03,2m,1.2,0.4,1.0,744.0,7328.0,0.025,2m,1.8,0.4,1.0,416.0,6328,0.035,5m,2.4000000000000004,0.2,1.0,392,4600.0,0.015,4m,1.2,0.2,1.0,744.0,6184,0.02,2m,2.8,0.6000000000000001,2.0,584,7168.0,0.035,2m,2.0,0.2,1.5,128.0,,,,,,,,4424.0,0.015,1m,2.8,1.0,1.0,216.0,,,,,,,,5152.0,0.025,4m,1.4,0.8,2.0,504.0,2952,0.045000000000000005,2m,2.6,0.4,1.0,960,5152.0,0.035,1m,3.0,0.6000000000000001,0.5,1000.0,2968,0.01,4m,1.6,0.6000000000000001,2.0,280,7512.0,0.045000000000000005,4m,1.4,0.2,0.5,896.0,6960,0.02,4m,1.6,0.4,1.0,696,4120,0.045000000000000005,1m,2.2,0.6000000000000001,1.0,696,,,,,,,,,,,,,,,3200.0,0.05,1m,1.4,1.0,1.0,152.0,1152.0,0.01,2m,1.4,0.2,0.5,720.0,,,,,,,,8128.0,0.02,2m,3.0,1.0,1.5,856.0,1152.0,0.045000000000000005,2m,1.2,0.6000000000000001,1.5,864.0,7048.0,0.025,2m,2.0,0.8,0.5,584.0,1712,0.03,4m,2.2,0.8,1.5,744,2776,0.02,1m,1.8,0.0,2.0,616,2680.0,0.045000000000000005,5m,2.2,0.8,1.0,944.0,0.15000000000000002,25,COMPLETE
24,24,0.9841016756742424,2025-06-22 16:16:03.142456,2025-06-22 16:16:29.377843,0 days 00:00:26.235387,4920.0,0.045000000000000005,5m,1.2,1.0,1.5,904.0,2592,0.015,4m,2.4000000000000004,0.8,1.5,336,1680,0.035,5m,2.2,0.8,2.0,384,5008.0,0.04,4m,1.2,0.8,1.5,536.0,6152.0,0.03,2m,2.2,0.6000000000000001,0.5,512.0,7144,0.045000000000000005,1m,3.0,0.6000000000000001,0.5,280,5736.0,0.02,4m,1.6,0.4,1.0,952.0,7384,0.025,2m,2.6,0.8,2.0,896,6960.0,0.025,3m,2.2,0.2,2.0,568.0,3232.0,0.035,4m,2.2,0.4,1.5,456.0,4928.0,0.01,1m,2.4000000000000004,1.0,1.0,384.0,2408.0,0.025,3m,1.6,0.0,1.0,272.0,6216.0,0.025,4m,1.2,0.8,1.5,616.0,1560,0.04,3m,2.8,0.2,0.5,824,5592.0,0.025,2m,2.2,0.4,1.0,624.0,4456,0.02,4m,2.0,0.2,1.0,360,6544.0,0.05,3m,2.2,0.4,0.5,1000.0,5968,0.035,4m,1.2,0.2,0.5,576,1744,0.025,1m,2.6,0.2,2.0,952,3840.0,0.025,5m,2.2,0.4,1.5,624.0,1360.0,0.03,2m,2.0,0.4,1.0,192.0,1288.0,0.04,5m,2.0,0.8,2.0,360.0,3088.0,0.015,5m,2.2,0.6000000000000001,0.5,888.0,,,,,,,,6584.0,0.015,2m,3.0,0.8,1.5,888.0,3568.0,0.045000000000000005,1m,1.0,1.0,2.0,1008.0,7304.0,0.015,4m,1.8,1.0,1.0,600.0,4072,0.045000000000000005,4m,1.8,0.2,1.0,552,1688,0.025,1m,2.4000000000000004,0.0,2.0,712,1104.0,0.03,3m,1.8,0.8,1.0,1024.0,0.2,29,COMPLETE
25,25,0.9585580170007457,2025-06-22 16:16:29.430055,2025-06-22 16:16:52.288374,0 days 00:00:22.858319,5856.0,0.04,4m,1.8,0.8,0.5,696.0,4728,0.025,2m,2.8,0.6000000000000001,1.0,136,4704,0.025,1m,2.8,0.6000000000000001,1.0,648,4216.0,0.035,5m,1.6,0.6000000000000001,1.0,656.0,5072.0,0.02,1m,1.8,0.4,1.0,576.0,4880,0.025,5m,2.8,0.4,1.0,712,4464.0,0.04,4m,1.2,0.2,1.5,608.0,5984,0.02,3m,2.8,0.6000000000000001,1.5,256,,,,,,,,,,,,,,,3656.0,0.015,5m,2.8,1.0,1.5,208.0,,,,,,,,5080.0,0.035,4m,1.8,0.6000000000000001,2.0,568.0,2584,0.035,2m,2.2,0.4,1.0,928,4560.0,0.045000000000000005,1m,1.8,0.8,0.5,712.0,8128,0.025,5m,1.4,0.4,1.5,480,7328.0,0.045000000000000005,1m,1.2,0.6000000000000001,0.5,816.0,4784,0.015,5m,1.6,0.6000000000000001,1.0,672,2888,0.045000000000000005,5m,2.6,0.2,1.5,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8160.0,0.03,2m,2.0,0.6000000000000001,1.0,600.0,1840.0,0.05,2m,1.6,0.6000000000000001,1.5,520.0,3792.0,0.025,2m,2.4000000000000004,0.8,1.5,776.0,2992,0.04,1m,2.0,0.8,1.5,840,1600,0.015,5m,2.0,0.0,1.0,544,2016.0,0.01,1m,2.6,0.4,1.5,864.0,0.1,22,COMPLETE
26,26,1.0147206832549638,2025-06-22 16:16:52.338909,2025-06-22 16:17:17.653438,0 days 00:00:25.314529,2456.0,0.05,2m,2.0,0.4,1.0,1024.0,3160,0.02,4m,2.0,0.8,1.5,344,2784,0.045000000000000005,3m,2.4000000000000004,0.8,0.5,752,5768.0,0.02,1m,1.0,0.2,1.5,808.0,7088.0,0.03,2m,2.8,0.8,1.5,248.0,5744,0.035,5m,2.2,0.8,0.5,592,2888.0,0.03,2m,2.0,0.6000000000000001,0.5,808.0,3584,0.015,2m,2.2,0.8,1.0,496,5728.0,0.045000000000000005,4m,1.4,0.2,0.5,320.0,,,,,,,,1816.0,0.01,2m,2.4000000000000004,0.8,1.0,472.0,1032.0,0.01,1m,2.2,0.8,0.5,552.0,3784.0,0.03,5m,1.2,1.0,1.0,672.0,4400,0.045000000000000005,1m,2.6,0.2,1.5,1024,6888.0,0.035,3m,2.6,0.2,0.5,848.0,5152,0.015,4m,2.0,0.8,2.0,216,6232.0,0.04,2m,2.8,0.2,0.5,928.0,7576,0.045000000000000005,4m,1.2,0.4,0.5,480,4312,0.035,1m,2.2,0.0,1.0,880,,,,,,,,,,,,,,,5176.0,0.02,3m,1.4,0.8,1.5,320.0,5344.0,0.03,3m,1.4,1.0,0.5,632.0,,,,,,,,5480.0,0.02,3m,2.6,1.0,0.5,768.0,6752.0,0.04,4m,1.2,0.8,1.5,816.0,5760.0,0.015,4m,1.8,0.4,0.5,504.0,1680,0.035,4m,2.2,0.6000000000000001,2.0,320,2656,0.035,1m,1.8,0.2,1.5,800,2912.0,0.045000000000000005,4m,2.8,1.0,1.0,768.0,0.2,26,COMPLETE
27,27,1.002858859791649,2025-06-22 16:17:17.716534,2025-06-22 16:17:28.361466,0 days 00:00:10.644932,,,,,,,,3112,0.02,4m,2.0,0.2,2.0,272,2896,0.01,3m,2.4000000000000004,1.0,2.0,592,,,,,,,,,,,,,,,6000,0.035,5m,2.2,0.8,0.5,304,,,,,,,,3648,0.015,2m,2.2,0.6000000000000001,1.5,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5672,0.045000000000000005,1m,2.8,0.2,1.5,1008,,,,,,,,5064,0.01,4m,2.0,0.8,2.0,232,,,,,,,,7456,0.045000000000000005,4m,2.0,0.4,0.5,376,5032,0.035,1m,2.4000000000000004,0.0,1.0,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,0.035,4m,2.4000000000000004,0.4,2.0,304,2736,0.035,1m,1.8,0.4,2.0,808,,,,,,,,0.3,10,COMPLETE
28,28,0.9911366200577038,2025-06-22 16:17:28.404600,2025-06-22 16:17:55.342689,0 days 00:00:26.938089,2416.0,0.045000000000000005,2m,1.6,0.4,1.0,872.0,4176,0.025,4m,1.8,1.0,1.5,536,1640,0.035,3m,2.4000000000000004,0.8,1.0,496,6912.0,0.02,1m,1.4,0.0,1.0,464.0,7440.0,0.04,2m,2.4000000000000004,0.8,0.5,728.0,6488,0.045000000000000005,5m,1.8,0.6000000000000001,0.5,456,2960.0,0.02,2m,1.2,0.6000000000000001,0.5,800.0,2624,0.015,2m,2.0,1.0,2.0,768,5600.0,0.045000000000000005,4m,1.8,0.2,1.5,304.0,3272.0,0.02,2m,2.4000000000000004,0.4,2.0,992.0,5848.0,0.01,1m,2.4000000000000004,0.8,0.5,472.0,1032.0,0.01,1m,2.4000000000000004,0.8,0.5,608.0,3744.0,0.03,5m,1.2,1.0,1.0,672.0,4384,0.05,2m,2.6,0.4,1.5,1024,3504.0,0.03,3m,2.6,0.2,1.0,864.0,4344,0.015,4m,2.6,0.8,1.5,544,4504.0,0.04,2m,1.8,0.0,0.5,872.0,6648,0.015,4m,1.4,0.2,0.5,512,4168,0.04,1m,2.2,0.0,1.0,984,3616.0,0.05,4m,2.2,1.0,1.0,704.0,,,,,,,,5680.0,0.015,3m,1.4,0.8,1.5,320.0,5104.0,0.025,3m,2.2,1.0,0.5,616.0,,,,,,,,3704.0,0.015,3m,2.6,1.0,1.5,736.0,7072.0,0.04,4m,1.6,0.8,1.0,920.0,5728.0,0.015,4m,1.4,0.4,0.5,512.0,1056,0.045000000000000005,4m,2.4000000000000004,0.6000000000000001,2.0,232,4072,0.045000000000000005,1m,1.4,0.2,2.0,872,2976.0,0.045000000000000005,4m,2.8,1.0,1.0,760.0,0.1,28,COMPLETE
29,29,0.9619913828390745,2025-06-22 16:17:55.394239,2025-06-22 16:18:28.266446,0 days 00:00:32.872207,1168.0,0.035,2m,1.2,0.2,1.0,1024.0,2008,0.02,4m,2.6,0.6000000000000001,1.5,384,3512,0.02,3m,2.2,0.4,0.5,576,5808.0,0.01,1m,1.8,0.2,1.5,792.0,5056.0,0.03,2m,2.2,1.0,1.0,400.0,7424,0.03,3m,2.4000000000000004,0.8,0.5,400,2816.0,0.03,2m,1.6,0.4,0.5,928.0,5104,0.02,2m,1.6,0.4,1.5,624,4064.0,0.045000000000000005,4m,2.2,0.0,2.0,248.0,2024.0,0.05,1m,1.8,0.2,1.5,432.0,1576.0,0.01,1m,2.2,1.0,1.0,328.0,2184.0,0.02,1m,2.2,0.8,0.5,616.0,3488.0,0.025,5m,1.6,1.0,1.0,808.0,3328,0.04,1m,3.0,0.6000000000000001,1.0,624,6664.0,0.025,3m,2.6,0.2,0.5,864.0,5240,0.015,4m,2.2,0.6000000000000001,1.5,368,7728.0,0.03,2m,2.4000000000000004,0.2,0.5,784.0,7424,0.045000000000000005,4m,1.2,0.4,0.5,920,6432,0.05,4m,1.0,0.0,1.0,176,6024.0,0.02,1m,1.2,0.2,0.5,296.0,5280.0,0.035,3m,2.2,0.4,2.0,704.0,5368.0,0.02,3m,1.0,0.8,1.0,128.0,5472.0,0.015,3m,1.8,0.8,0.5,432.0,1040.0,0.05,1m,1.0,0.0,0.5,960.0,5320.0,0.01,3m,2.8,1.0,1.0,912.0,3248.0,0.035,4m,1.8,1.0,2.0,840.0,5728.0,0.015,4m,1.8,0.2,0.5,392.0,2328,0.04,4m,2.0,0.6000000000000001,2.0,408,3112,0.035,1m,1.2,0.4,1.5,736,2096.0,0.04,1m,3.0,1.0,1.0,656.0,0.35000000000000003,30,COMPLETE
30,30,0.9226818240546353,2025-06-22 16:18:28.333762,2025-06-22 16:18:53.427986,0 days 00:00:25.094224,2328.0,0.04,2m,2.0,0.2,0.5,432.0,2952,0.015,4m,2.4000000000000004,0.8,2.0,200,2912,0.04,3m,1.6,0.8,0.5,712,4800.0,0.015,1m,1.2,0.2,2.0,680.0,7776.0,0.04,2m,2.8,0.8,2.0,240.0,5696,0.035,4m,2.4000000000000004,0.2,0.5,552,1032.0,0.01,2m,2.0,0.6000000000000001,0.5,168.0,3904,0.015,2m,2.0,0.8,1.0,704,6728.0,0.045000000000000005,4m,1.6,0.4,1.0,144.0,,,,,,,,6760.0,0.015,2m,2.8,0.8,1.5,392.0,1936.0,0.015,1m,1.8,1.0,1.0,272.0,4040.0,0.035,5m,1.2,0.8,1.0,872.0,4424,0.045000000000000005,4m,2.8,0.4,0.5,856,4568.0,0.045000000000000005,3m,3.0,0.4,1.0,1008.0,5920,0.04,4m,1.8,1.0,1.0,216,7056.0,0.02,2m,1.4,0.0,0.5,952.0,7880,0.03,4m,1.6,0.2,0.5,544,4216,0.03,3m,2.8,0.2,0.5,576,,,,,,,,,,,,,,,7080.0,0.015,2m,1.6,1.0,1.5,304.0,5736.0,0.015,4m,1.4,1.0,0.5,296.0,,,,,,,,2256.0,0.02,3m,2.6,1.0,0.5,776.0,5024.0,0.025,4m,1.2,0.8,1.5,928.0,4056.0,0.035,4m,1.8,0.2,0.5,512.0,1528,0.03,2m,2.2,0.2,0.5,192,3648,0.05,1m,1.4,0.2,1.5,656,3976.0,0.045000000000000005,1m,1.8,1.0,1.0,648.0,0.15000000000000002,26,COMPLETE
31,31,0.9892901630342416,2025-06-22 16:18:53.471189,2025-06-22 16:19:07.224555,0 days 00:00:13.753366,,,,,,,,3160,0.02,4m,2.0,0.2,2.0,272,2936,0.01,3m,2.4000000000000004,1.0,2.0,592,,,,,,,,7112.0,0.035,3m,2.6,0.6000000000000001,0.5,816.0,6176,0.035,5m,2.2,0.8,0.5,320,,,,,,,,3520,0.015,2m,2.2,0.6000000000000001,1.5,504,,,,,,,,,,,,,,,2888.0,0.035,2m,2.6,1.0,0.5,536.0,,,,,,,,,,,,,,,5480,0.045000000000000005,1m,2.8,0.2,1.5,968,,,,,,,,5000,0.01,4m,2.0,0.8,2.0,232,5864.0,0.04,2m,2.4000000000000004,0.0,1.0,352.0,7552,0.045000000000000005,4m,2.2,0.4,0.5,376,5272,0.035,1m,2.4000000000000004,0.0,1.0,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1624,0.035,4m,2.4000000000000004,0.4,2.0,328,2688,0.035,1m,1.8,0.4,2.0,848,1592.0,0.05,3m,1.0,0.8,1.5,824.0,0.3,14,COMPLETE
32,32,0.9965938753347248,2025-06-22 16:19:07.267745,2025-06-22 16:19:18.973822,0 days 00:00:11.706077,,,,,,,,3208,0.02,4m,2.0,0.2,2.0,400,2152,0.025,3m,2.4000000000000004,1.0,2.0,576,,,,,,,,,,,,,,,6608,0.04,5m,2.2,0.8,0.5,232,,,,,,,,2936,0.01,2m,2.4000000000000004,0.6000000000000001,1.5,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256,0.05,1m,3.0,0.2,1.5,920,,,,,,,,4048,0.01,4m,2.0,0.8,2.0,336,,,,,,,,6656,0.045000000000000005,4m,2.0,0.4,0.5,216,4984,0.035,1m,2.2,0.0,1.0,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184,0.035,4m,2.4000000000000004,0.4,2.0,328,3160,0.04,1m,1.8,0.4,2.0,784,3184.0,0.04,2m,2.2,1.0,0.5,968.0,0.45,11,COMPLETE
33,33,0.9817910195443315,2025-06-22 16:19:19.026212,2025-06-22 16:19:29.262916,0 days 00:00:10.236704,,,,,,,,4152,0.015,4m,1.8,0.4,1.5,280,1104,0.015,3m,2.0,1.0,1.5,536,,,,,,,,,,,,,,,6880,0.035,5m,2.0,1.0,0.5,368,,,,,,,,4704,0.015,2m,2.2,0.6000000000000001,1.5,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6368,0.045000000000000005,1m,2.4000000000000004,0.2,1.5,1024,,,,,,,,6400,0.015,4m,1.6,0.8,2.0,256,,,,,,,,7464,0.05,4m,2.4000000000000004,0.6000000000000001,0.5,416,5616,0.035,1m,2.4000000000000004,0.0,1.0,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728,0.035,4m,2.8,0.6000000000000001,2.0,280,2488,0.025,1m,2.0,0.2,2.0,904,,,,,,,,0.25,10,COMPLETE
34,34,0.9750536737956098,2025-06-22 16:19:29.313157,2025-06-22 16:19:43.391934,0 days 00:00:14.078777,,,,,,,,2192,0.02,4m,1.6,0.0,1.5,528,2552,0.03,1m,2.6,0.8,2.0,624,,,,,,,,6912.0,0.015,2m,1.2,1.0,1.5,360.0,7560,0.03,5m,2.6,0.4,0.5,192,,,,,,,,1408,0.025,2m,1.8,0.8,2.0,640,,,,,,,,,,,,,,,3064.0,0.035,3m,2.0,0.8,0.5,248.0,,,,,,,,,,,,,,,5864,0.05,1m,2.6,0.4,1.5,952,,,,,,,,5296,0.01,4m,1.8,0.6000000000000001,2.0,200,,,,,,,,6808,0.02,4m,2.0,0.4,0.5,464,7080,0.04,2m,2.6,0.2,1.5,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536,0.04,4m,2.2,0.4,2.0,144,3336,0.03,1m,1.6,0.2,1.5,1016,1952.0,0.03,1m,1.2,0.8,0.5,928.0,0.2,13,COMPLETE
35,35,1.0077723251800004,2025-06-22 16:19:43.446566,2025-06-22 16:19:58.655996,0 days 00:00:15.209430,,,,,,,,3768,0.015,4m,1.8,0.2,2.0,216,2064,0.015,3m,2.0,1.0,2.0,936,5568.0,0.015,1m,2.4000000000000004,0.4,1.0,600.0,6064.0,0.03,2m,3.0,0.8,0.5,648.0,5496,0.04,2m,1.8,0.8,0.5,272,,,,,,,,3760,0.02,5m,1.0,0.4,1.0,536,,,,,,,,,,,,,,,4184.0,0.01,1m,3.0,1.0,1.0,312.0,,,,,,,,3288.0,0.02,3m,1.4,1.0,0.5,1000.0,3536,0.04,2m,2.8,0.2,1.0,880,,,,,,,,3216,0.015,4m,2.4000000000000004,1.0,0.5,320,8184.0,0.01,2m,2.8,0.2,0.5,848.0,5304,0.045000000000000005,4m,3.0,0.2,0.5,304,8168,0.045000000000000005,5m,2.0,0.0,0.5,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2656,0.025,4m,2.8,0.6000000000000001,2.0,400,2904,0.035,1m,1.8,0.4,2.0,728,1184.0,0.035,5m,2.0,0.6000000000000001,1.0,864.0,0.25,16,COMPLETE
