,number,value,datetime_start,datetime_complete,duration,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_CPRT_MU_beta_win,params_CPRT_MU_stop_loss,params_CPRT_MU_trade_freq,params_CPRT_MU_z_entry,params_CPRT_MU_z_exit,params_CPRT_MU_z_stop_scaler,params_CPRT_MU_z_win,params_CSGP_CSX_beta_win,params_CSGP_CSX_stop_loss,params_CSGP_CSX_trade_freq,params_CSGP_CSX_z_entry,params_CSGP_CSX_z_exit,params_CSGP_CSX_z_stop_scaler,params_CSGP_CSX_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_FTNT_ROST_beta_win,params_FTNT_ROST_stop_loss,params_FTNT_ROST_trade_freq,params_FTNT_ROST_z_entry,params_FTNT_ROST_z_exit,params_FTNT_ROST_z_stop_scaler,params_FTNT_ROST_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,0.9793403810298005,2025-06-22 17:15:42.923377,2025-06-22 17:15:56.328971,0 days 00:00:13.405594,4232.0,0.025,2m,2.4000000000000004,0.8,1.5,392.0,4448,0.025,7m,2.6,0.8,1.0,560,7336.0,0.045000000000000005,5m,2.6,0.2,1.5,336.0,8128.0,0.025,6m,1.8,0.6000000000000001,2.0,1016.0,7768.0,0.045000000000000005,8m,2.6,0.8,1.0,368.0,6024.0,0.03,6m,1.2,1.0,1.0,608.0,1704,0.03,2m,1.2,1.0,0.5,520,1960.0,0.045000000000000005,7m,2.0,0.8,1.0,288.0,6688.0,0.04,8m,1.0,0.6000000000000001,2.0,768.0,4032.0,0.04,2m,1.6,0.8,1.5,336.0,3936.0,0.02,7m,2.6,0.2,1.0,136.0,0.05,10,COMPLETE
21,21,0.9541044601186072,2025-06-22 17:15:56.350971,2025-06-22 17:16:09.868787,0 days 00:00:13.517816,5840.0,0.04,2m,1.6,0.6000000000000001,1.0,568.0,1848,0.03,5m,3.0,0.8,1.5,128,4968.0,0.04,9m,3.0,0.0,1.5,384.0,8000.0,0.05,4m,2.0,0.4,2.0,1024.0,5016.0,0.015,3m,2.0,1.0,2.0,192.0,1288.0,0.05,2m,2.0,0.2,2.0,1008.0,2096,0.025,9m,1.2,0.4,0.5,320,5688.0,0.045000000000000005,9m,1.0,0.8,1.0,360.0,7704.0,0.05,8m,1.4,0.8,1.5,800.0,2640.0,0.05,9m,1.6,1.0,1.5,176.0,3744.0,0.05,3m,2.4000000000000004,0.2,1.0,704.0,0.1,10,COMPLETE
22,22,1.0024947447594352,2025-06-22 17:16:09.903198,2025-06-22 17:16:21.866838,0 days 00:00:11.963640,6096.0,0.035,2m,2.4000000000000004,0.4,1.0,384.0,2664,0.025,5m,3.0,1.0,1.5,128,5432.0,0.035,9m,2.8,0.0,1.5,592.0,6096.0,0.05,4m,2.4000000000000004,0.4,2.0,744.0,,,,,,,,2984.0,0.04,2m,2.4000000000000004,0.2,2.0,840.0,2472,0.025,9m,1.2,0.4,0.5,352,4152.0,0.045000000000000005,9m,1.4,0.6000000000000001,1.5,504.0,6984.0,0.045000000000000005,8m,1.4,0.8,1.5,912.0,2744.0,0.045000000000000005,9m,1.4,1.0,1.5,128.0,3048.0,0.05,3m,1.8,0.2,1.0,784.0,0.15000000000000002,9,COMPLETE
23,23,0.9970983658333872,2025-06-22 17:16:21.909359,2025-06-22 17:16:33.929249,0 days 00:00:12.019890,4440.0,0.04,2m,2.4000000000000004,0.8,1.0,696.0,1488,0.04,8m,2.8,0.8,1.5,264,3064.0,0.045000000000000005,4m,2.4000000000000004,0.2,2.0,400.0,6752.0,0.04,9m,1.6,0.2,1.5,800.0,5232.0,0.02,3m,2.0,0.0,2.0,136.0,2592.0,0.05,3m,1.8,0.4,1.5,816.0,1464,0.015,9m,1.4,0.6000000000000001,0.5,248,5880.0,0.035,8m,1.0,0.0,1.0,272.0,5136.0,0.05,8m,1.4,0.6000000000000001,1.0,688.0,4072.0,0.045000000000000005,8m,2.0,0.8,1.5,304.0,5912.0,0.04,8m,2.6,0.4,0.5,504.0,0.1,10,COMPLETE
24,24,0.9617095093800058,2025-06-22 17:16:33.966261,2025-06-22 17:16:46.136178,0 days 00:00:12.169917,6824.0,0.02,9m,1.6,0.6000000000000001,0.5,152.0,2352,0.03,5m,3.0,0.6000000000000001,1.0,216,5528.0,0.035,3m,3.0,0.0,1.5,280.0,3432.0,0.04,3m,2.4000000000000004,0.6000000000000001,1.0,432.0,,,,,,,,4808.0,0.04,2m,1.6,0.0,2.0,336.0,1128,0.02,6m,1.0,0.2,1.0,336,4720.0,0.05,9m,1.4,0.8,1.0,592.0,7216.0,0.035,5m,1.8,0.8,1.5,1008.0,3120.0,0.04,5m,1.6,0.6000000000000001,1.5,344.0,4304.0,0.02,6m,2.6,0.2,1.0,848.0,0.25,9,COMPLETE
25,25,0.9401184295763211,2025-06-22 17:16:46.207538,2025-06-22 17:16:58.524279,0 days 00:00:12.316741,4944.0,0.03,2m,2.2,0.8,1.5,496.0,3120,0.025,3m,2.4000000000000004,1.0,1.5,424,6920.0,0.025,7m,2.8,0.4,1.0,504.0,,,,,,,,,,,,,,,1136.0,0.025,8m,2.6,0.6000000000000001,1.5,1024.0,2424,0.035,3m,1.6,0.4,0.5,448,6336.0,0.035,3m,1.2,0.6000000000000001,0.5,424.0,6376.0,0.045000000000000005,4m,1.2,1.0,1.0,872.0,5528.0,0.05,4m,1.2,1.0,1.0,656.0,6784.0,0.045000000000000005,3m,2.0,0.6000000000000001,0.5,624.0,0.15000000000000002,8,COMPLETE
26,26,0.9585524141344892,2025-06-22 17:16:58.556687,2025-06-22 17:17:09.316233,0 days 00:00:10.759546,4272.0,0.04,6m,1.8,0.2,1.0,376.0,1656,0.045000000000000005,3m,2.8,0.8,2.0,352,7320.0,0.045000000000000005,8m,2.4000000000000004,0.0,2.0,680.0,,,,,,,,,,,,,,,2288.0,0.045000000000000005,7m,2.4000000000000004,0.2,1.0,424.0,1768,0.025,4m,1.8,0.6000000000000001,1.0,568,3080.0,0.04,2m,1.0,1.0,1.5,568.0,4632.0,0.045000000000000005,7m,2.2,0.2,2.0,720.0,4112.0,0.04,9m,1.8,0.4,1.5,240.0,1088.0,0.03,3m,1.6,0.0,1.0,848.0,0.05,8,COMPLETE
27,27,0.9394541931575905,2025-06-22 17:17:09.356835,2025-06-22 17:17:11.523033,0 days 00:00:02.166198,,,,,,,,2328,0.015,5m,2.4000000000000004,0.6000000000000001,1.5,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3592,0.015,9m,1.2,0.2,0.5,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
28,28,0.9659820575553983,2025-06-22 17:17:11.560900,2025-06-22 17:17:17.811664,0 days 00:00:06.250764,,,,,,,,1136,0.035,3m,2.6,1.0,1.0,176,5408.0,0.04,9m,2.8,0.2,1.5,168.0,,,,,,,,,,,,,,,,,,,,,,2600,0.02,9m,1.4,0.4,1.5,296,4336.0,0.045000000000000005,2m,1.8,0.8,1.0,760.0,,,,,,,,7184.0,0.03,7m,2.2,0.8,1.0,128.0,,,,,,,,0.2,4,COMPLETE
29,29,1.0436408625253868,2025-06-22 17:17:17.839370,2025-06-22 17:17:28.689173,0 days 00:00:10.849803,3272.0,0.05,7m,2.6,0.4,1.5,664.0,3416,0.03,4m,2.8,0.8,0.5,512,3576.0,0.025,9m,2.4000000000000004,0.0,1.5,408.0,3960.0,0.05,4m,1.4,0.8,2.0,896.0,5976.0,0.03,6m,1.2,1.0,2.0,848.0,3928.0,0.025,2m,1.4,0.6000000000000001,2.0,792.0,1040,0.035,9m,1.8,0.8,0.5,368,1712.0,0.05,9m,1.4,0.4,0.5,280.0,5840.0,0.035,9m,1.6,0.6000000000000001,1.5,632.0,6064.0,0.035,7m,1.4,0.6000000000000001,1.5,368.0,2848.0,0.025,8m,2.4000000000000004,0.8,2.0,536.0,0.3,10,COMPLETE
