,number,value,datetime_start,datetime_complete,duration,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_CPRT_MU_beta_win,params_CPRT_MU_stop_loss,params_CPRT_MU_trade_freq,params_CPRT_MU_z_entry,params_CPRT_MU_z_exit,params_CPRT_MU_z_stop_scaler,params_CPRT_MU_z_win,params_CSGP_CSX_beta_win,params_CSGP_CSX_stop_loss,params_CSGP_CSX_trade_freq,params_CSGP_CSX_z_entry,params_CSGP_CSX_z_exit,params_CSGP_CSX_z_stop_scaler,params_CSGP_CSX_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_FTNT_ROST_beta_win,params_FTNT_ROST_stop_loss,params_FTNT_ROST_trade_freq,params_FTNT_ROST_z_entry,params_FTNT_ROST_z_exit,params_FTNT_ROST_z_stop_scaler,params_FTNT_ROST_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
73,73,0.9892502406872399,2025-06-22 17:23:08.331239,2025-06-22 17:23:15.393327,0 days 00:00:07.062088,,,,,,,,1632,0.045000000000000005,7m,1.0,1.0,1.5,176,3880.0,0.025,3m,1.6,0.8,2.0,864.0,,,,,,,,,,,,,,,,,,,,,,4936,0.025,7m,1.6,0.4,0.5,616,4648.0,0.025,4m,1.6,0.4,0.5,752.0,2864.0,0.015,4m,2.4000000000000004,0.2,0.5,248.0,1056.0,0.035,6m,3.0,0.0,1.0,320.0,,,,,,,,0.1,5,COMPLETE
74,74,1.021957339870466,2025-06-22 17:23:15.417103,2025-06-22 17:23:21.308659,0 days 00:00:05.891556,,,,,,,,1192,0.04,7m,1.2,1.0,1.5,128,3264.0,0.03,3m,1.8,0.8,2.0,944.0,,,,,,,,,,,,,,,,,,,,,,4280,0.03,7m,1.4,0.4,0.5,552,5896.0,0.02,4m,2.2,0.4,0.5,792.0,,,,,,,,7592.0,0.05,6m,2.8,0.0,1.5,416.0,,,,,,,,0.05,4,COMPLETE
75,75,0.9472626122270525,2025-06-22 17:23:21.344067,2025-06-22 17:23:32.034602,0 days 00:00:10.690535,,,,,,,,2304,0.035,2m,1.4,0.8,1.5,256,3024.0,0.035,3m,1.4,1.0,2.0,1008.0,,,,,,,,,,,,,,,,,,,,,,3968,0.025,7m,2.4000000000000004,0.6000000000000001,0.5,424,6712.0,0.03,8m,1.8,0.6000000000000001,0.5,504.0,1064.0,0.025,2m,2.6,0.4,1.0,504.0,5544.0,0.03,5m,2.6,0.4,1.5,352.0,5392.0,0.04,2m,3.0,0.6000000000000001,0.5,384.0,0.1,6,COMPLETE
76,76,0.9620480676621931,2025-06-22 17:23:32.082439,2025-06-22 17:23:38.134615,0 days 00:00:06.052176,,,,,,,,2032,0.045000000000000005,6m,2.0,1.0,1.0,320,4272.0,0.025,5m,2.0,0.6000000000000001,2.0,856.0,,,,,,,,,,,,,,,,,,,,,,3088,0.035,5m,1.2,0.2,0.5,488,5928.0,0.025,2m,1.8,0.4,0.5,824.0,,,,,,,,6168.0,0.04,8m,2.8,0.2,1.0,488.0,,,,,,,,0.15000000000000002,4,COMPLETE
77,77,1.0134399746041178,2025-06-22 17:23:38.167336,2025-06-22 17:23:43.935872,0 days 00:00:05.768536,,,,,,,,1880,0.04,7m,1.6,0.8,1.5,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3464,0.03,2m,1.2,0.6000000000000001,0.5,576,5424.0,0.025,6m,1.6,0.4,0.5,576.0,,,,,,,,6896.0,0.045000000000000005,4m,3.0,0.2,1.5,456.0,,,,,,,,0.2,3,COMPLETE
78,78,0.9445880592078719,2025-06-22 17:23:44.010305,2025-06-22 17:23:51.468830,0 days 00:00:07.458525,,,,,,,,3264,0.035,3m,1.4,1.0,1.5,232,7776.0,0.02,7m,2.2,0.4,0.5,784.0,,,,,,,,,,,,,,,,,,,,,,4568,0.02,7m,1.6,0.4,1.0,544,4296.0,0.01,4m,2.0,0.6000000000000001,0.5,680.0,4304.0,0.03,4m,2.2,0.2,0.5,696.0,7320.0,0.035,3m,2.4000000000000004,0.4,0.5,216.0,,,,,,,,0.05,5,COMPLETE
79,79,0.9744267720475518,2025-06-22 17:23:51.503782,2025-06-22 17:23:57.382823,0 days 00:00:05.879041,,,,,,,,5824,0.04,3m,2.0,0.4,1.5,152,2440.0,0.04,8m,1.2,0.8,2.0,592.0,,,,,,,,,,,,,,,,,,,,,,3616,0.04,4m,1.4,0.6000000000000001,1.5,728,5112.0,0.035,7m,1.4,0.4,0.5,736.0,,,,,,,,7912.0,0.03,6m,2.2,0.6000000000000001,1.5,504.0,,,,,,,,0.1,4,COMPLETE
80,80,0.9673199847771771,2025-06-22 17:23:57.419855,2025-06-22 17:24:03.996098,0 days 00:00:06.576243,,,,,,,,2600,0.045000000000000005,8m,1.2,0.8,1.0,200,3624.0,0.05,2m,1.6,0.6000000000000001,2.0,480.0,,,,,,,,,,,,,,,,,,,,,,5304,0.035,3m,1.4,0.4,0.5,640,4848.0,0.03,9m,2.4000000000000004,0.6000000000000001,0.5,600.0,,,,,,,,6768.0,0.04,5m,2.6,0.0,1.0,312.0,,,,,,,,0.15000000000000002,4,COMPLETE
81,81,1.0095410447029047,2025-06-22 17:24:04.041030,2025-06-22 17:24:10.102764,0 days 00:00:06.061734,,,,,,,,1232,0.04,7m,1.2,1.0,1.5,128,3288.0,0.03,3m,1.8,0.8,2.0,936.0,,,,,,,,,,,,,,,,,,,,,,4304,0.03,7m,1.4,0.4,0.5,552,6000.0,0.02,4m,2.2,0.4,0.5,904.0,,,,,,,,7680.0,0.05,6m,2.8,0.0,1.5,416.0,,,,,,,,0.05,4,COMPLETE
82,82,0.9922283569465853,2025-06-22 17:24:10.132612,2025-06-22 17:24:14.309056,0 days 00:00:04.176444,,,,,,,,1216,0.04,7m,1.8,1.0,1.5,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4048,0.03,7m,1.6,0.4,0.5,592,5616.0,0.015,4m,2.2,0.4,0.5,816.0,,,,,,,,7536.0,0.05,6m,2.8,0.0,1.5,408.0,,,,,,,,0.05,3,COMPLETE
83,83,1.009998015520972,2025-06-22 17:24:14.355146,2025-06-22 17:24:21.177417,0 days 00:00:06.822271,,,,,,,,1496,0.035,7m,1.2,1.0,1.5,160,3288.0,0.03,3m,1.8,0.8,2.0,944.0,,,,,,,,,,,,,,,,,,,,,,4264,0.025,7m,1.2,0.0,0.5,528,1392.0,0.02,4m,2.4000000000000004,0.2,0.5,648.0,3760.0,0.02,7m,2.8,0.0,1.0,936.0,7160.0,0.05,6m,2.8,0.0,1.5,368.0,,,,,,,,0.1,5,COMPLETE
84,84,0.9532884410751847,2025-06-22 17:24:21.217553,2025-06-22 17:24:27.185041,0 days 00:00:05.967488,,,,,,,,1712,0.045000000000000005,7m,1.2,1.0,1.5,144,2816.0,0.025,3m,1.6,0.8,2.0,376.0,,,,,,,,,,,,,,,,,,,,,,5016,0.03,6m,1.4,0.4,0.5,448,6408.0,0.025,4m,2.0,0.4,0.5,792.0,,,,,,,,8008.0,0.045000000000000005,6m,3.0,0.2,1.5,432.0,,,,,,,,0.05,4,COMPLETE
85,85,0.9821654124059045,2025-06-22 17:24:27.223492,2025-06-22 17:24:35.509679,0 days 00:00:08.286187,,,,,,,,1112,0.04,7m,1.4,0.8,1.5,760,3152.0,0.045000000000000005,4m,2.0,1.0,2.0,1024.0,,,,,,,,,,,,,,,,,,,,,,2584,0.025,7m,2.0,0.2,0.5,496,5400.0,0.02,2m,1.6,0.4,0.5,704.0,4872.0,0.04,6m,2.0,0.4,2.0,624.0,6312.0,0.035,6m,2.8,0.0,1.5,600.0,6600.0,0.015,5m,1.4,0.4,1.5,944.0,0.1,6,COMPLETE
86,86,0.9329885645512398,2025-06-22 17:24:35.542662,2025-06-22 17:24:41.259944,0 days 00:00:05.717282,,,,,,,,2256,0.035,3m,2.0,1.0,1.5,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4704,0.045000000000000005,7m,1.2,0.4,0.5,688,6192.0,0.025,8m,1.8,0.4,0.5,472.0,,,,,,,,7016.0,0.05,2m,3.0,0.6000000000000001,1.5,528.0,,,,,,,,0.05,3,COMPLETE
87,87,0.97463657770514,2025-06-22 17:24:41.294408,2025-06-22 17:24:47.770595,0 days 00:00:06.476187,,,,,,,,1984,0.04,2m,1.0,1.0,1.5,192,3952.0,0.03,3m,2.0,0.4,2.0,936.0,,,,,,,,,,,,,,,,,,,,,,3496,0.03,7m,1.0,0.6000000000000001,0.5,560,5184.0,0.02,9m,2.2,0.4,0.5,800.0,,,,,,,,4992.0,0.045000000000000005,6m,2.6,0.8,1.5,256.0,,,,,,,,0.1,4,COMPLETE
88,88,1.0000027101772877,2025-06-22 17:24:47.813312,2025-06-22 17:24:54.359782,0 days 00:00:06.546470,,,,,,,,3008,0.04,9m,1.8,0.8,1.5,216,3664.0,0.035,3m,2.2,0.6000000000000001,2.0,416.0,,,,,,,,,,,,,,,,,,,,,,4328,0.03,8m,1.2,0.4,0.5,624,4552.0,0.015,4m,1.6,0.2,0.5,160.0,4440.0,0.015,5m,1.8,0.4,1.0,232.0,4368.0,0.035,7m,2.8,0.4,1.5,296.0,,,,,,,,0.25,5,COMPLETE
89,89,0.9104291704725261,2025-06-22 17:24:54.391681,2025-06-22 17:24:58.576113,0 days 00:00:04.184432,,,,,,,,1608,0.025,4m,1.0,0.8,1.0,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160,0.02,5m,1.6,0.6000000000000001,0.5,608,4736.0,0.035,3m,2.4000000000000004,0.6000000000000001,0.5,632.0,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
90,90,1.006627006190223,2025-06-22 17:24:58.608275,2025-06-22 17:25:04.229612,0 days 00:00:05.621337,,,,,,,,1024,0.045000000000000005,6m,1.8,1.0,1.5,944,4704.0,0.025,8m,1.8,0.8,2.0,864.0,,,,,,,,,,,,,,,,,,,,,,4648,0.05,4m,1.4,0.8,1.0,472,5800.0,0.025,5m,1.4,0.6000000000000001,0.5,544.0,,,,,,,,7344.0,0.04,5m,3.0,0.4,1.5,336.0,,,,,,,,0.15000000000000002,4,COMPLETE
91,91,0.9782266478226609,2025-06-22 17:25:04.277494,2025-06-22 17:25:10.646841,0 days 00:00:06.369347,,,,,,,,2144,0.04,7m,1.8,0.8,1.5,240,2568.0,0.03,3m,1.2,0.6000000000000001,2.0,904.0,,,,,,,,,,,,,,,,,,,,,,3992,0.035,3m,1.6,0.4,1.0,584,6832.0,0.015,4m,1.8,0.4,0.5,856.0,,,,,,,,6744.0,0.04,6m,2.8,0.2,1.5,288.0,,,,,,,,0.05,4,COMPLETE
92,92,1.006831793196577,2025-06-22 17:25:10.678779,2025-06-22 17:25:15.753608,0 days 00:00:05.074829,,,,,,,,1320,0.035,7m,1.6,0.8,1.5,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4112,0.035,3m,1.8,0.4,1.0,376,6616.0,0.015,4m,1.8,0.4,0.5,920.0,,,,,,,,6896.0,0.04,6m,2.8,0.2,1.5,216.0,,,,,,,,0.05,3,COMPLETE
93,93,0.9599661672894313,2025-06-22 17:25:15.780966,2025-06-22 17:25:21.957995,0 days 00:00:06.177029,,,,,,,,1800,0.04,7m,1.8,0.8,1.5,144,2304.0,0.03,3m,1.4,0.6000000000000001,2.0,824.0,,,,,,,,,,,,,,,,,,,,,,3760,0.035,3m,1.6,0.4,1.0,640,7080.0,0.01,4m,2.0,0.4,0.5,776.0,,,,,,,,7632.0,0.04,6m,2.6,0.2,1.5,360.0,,,,,,,,0.05,4,COMPLETE
94,94,0.9490305318482887,2025-06-22 17:25:22.005251,2025-06-22 17:25:29.143310,0 days 00:00:07.138059,,,,,,,,2336,0.045000000000000005,7m,2.2,0.6000000000000001,1.5,184,2080.0,0.035,3m,1.2,0.6000000000000001,2.0,896.0,,,,,,,,,,,,,,,,,,,,,,4168,0.04,3m,1.4,0.4,1.0,320,1312.0,0.02,9m,1.8,0.4,0.5,880.0,5464.0,0.025,4m,1.0,1.0,0.5,480.0,1824.0,0.045000000000000005,8m,3.0,0.0,1.5,384.0,,,,,,,,0.1,5,COMPLETE
95,95,0.9074510241231583,2025-06-22 17:25:29.177096,2025-06-22 17:25:38.232006,0 days 00:00:09.054910,8016.0,0.015,4m,1.2,0.0,0.5,152.0,2456,0.04,3m,1.6,0.8,1.5,168,3400.0,0.03,6m,1.4,0.8,2.0,448.0,,,,,,,,,,,,,,,,,,,,,,4824,0.03,9m,1.8,0.4,1.0,528,6080.0,0.015,4m,1.6,0.4,0.5,688.0,2320.0,0.01,3m,2.6,0.2,1.5,976.0,6504.0,0.04,6m,1.0,0.4,1.5,176.0,5224.0,0.035,9m,1.8,1.0,0.5,432.0,0.1,7,COMPLETE
96,96,0.9983404319600745,2025-06-22 17:25:38.267008,2025-06-22 17:25:44.004915,0 days 00:00:05.737907,,,,,,,,2712,0.045000000000000005,8m,1.8,1.0,1.5,216,2832.0,0.025,3m,1.6,0.4,2.0,992.0,,,,,,,,,,,,,,,,,,,,,,3664,0.035,7m,1.4,0.6000000000000001,0.5,664,6608.0,0.03,6m,1.4,0.6000000000000001,0.5,752.0,,,,,,,,7016.0,0.035,4m,2.4000000000000004,0.2,1.5,472.0,,,,,,,,0.3,4,COMPLETE
97,97,1.0313253303138534,2025-06-22 17:25:44.044081,2025-06-22 17:25:50.559903,0 days 00:00:06.515822,,,,,,,,8016,0.02,3m,2.4000000000000004,1.0,1.5,264,1440.0,0.025,3m,2.6,0.6000000000000001,2.0,952.0,,,,,,,,,,,,,,,,,,,,,,3400,0.035,9m,1.6,0.2,0.5,592,7312.0,0.02,3m,2.6,0.4,0.5,720.0,,,,,,,,7472.0,0.05,7m,2.0,0.2,1.5,240.0,,,,,,,,0.05,4,COMPLETE
98,98,1.0459599602646394,2025-06-22 17:25:50.591599,2025-06-22 17:25:55.591893,0 days 00:00:05.000294,,,,,,,,6168,0.02,3m,2.4000000000000004,1.0,0.5,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,0.025,9m,1.4,0.2,0.5,712,7856.0,0.025,3m,2.8,0.4,0.5,720.0,,,,,,,,7464.0,0.05,7m,2.0,0.4,1.5,240.0,,,,,,,,0.05,3,COMPLETE
99,99,1.0177022508232272,2025-06-22 17:25:55.636625,2025-06-22 17:25:59.738751,0 days 00:00:04.102126,,,,,,,,7528,0.02,3m,2.4000000000000004,1.0,0.5,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3392,0.02,9m,1.2,0.2,0.5,768,8056.0,0.025,3m,2.8,0.6000000000000001,0.5,712.0,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
