date,time,PRICE_ARM_ARM_ON_ROP,PRICE_ROP_ARM_ON_ROP,PRICE_IDXX_IDXX_ON_ON,PRICE_ON_IDXX_ON_ON,BETA_IDXX_ON_ON,SPREAD_IDXX_ON_ON,Z_IDXX_ON_ON,BETA_ARM_ON_ROP,SPREAD_ARM_ON_ROP,Z_ARM_ON_ROP,market_close,SIGNAL_IDXX_ON_ON,SIGNAL_ARM_ON_ROP,POS_IDXX_ON_ON,POS_ARM_ON_ROP,POS_BETA_IDXX_ON_ON,POS_BETA_ARM_ON_ROP,PAIR_BASE_IDXX_ON_ON,PAIR_BASE_ARM_ON_ROP,PAIR_RET_IDXX_ON_ON,PAIR_RET_ARM_ON_ROP,SL_IDXX_ON_ON,SL_ARM_ON_ROP,LOSS_IDXX_ON_ON,LOSS_ARM_ON_ROP,COOLDOWN_IDXX_ON_ON,COOLDOWN_ARM_ON_ROP,CAPITAL_IDXX_ON_ON,CAPITAL_ARM_ON_ROP,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-12-04,14:31:00.000000000,142.97,569.735,428.5,69.75,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:32:00.000000000,143.95,572.9,429.68,69.91,,,,0.2520097684299293,-0.42639633350648865,-2.072292100683991,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:33:00.000000000,144.095,571.86,430.68,69.75,2.357100100861625,266.2722679649017,-1.509646868058436,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:34:00.000000000,143.535,571.86,430.64,69.38,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:35:00.000000000,143.45,571.86,430.665,69.15,,,,0.2626858687562531,-6.769540906950908,-2.1236887395108055,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:36:00.000000000,143.65,570.73,430.535,68.74,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:37:00.000000000,143.59,570.73,430.535,68.53,2.35151078130755,269.3859661569936,-1.4452408567358963,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:38:00.000000000,143.195,570.73,430.535,68.54,,,,0.2719618539543858,-12.021788907386622,-2.1489813204392623,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:39:00.000000000,142.63,570.95,427.505,68.4,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:40:00.000000000,142.855,571.47,427.01,68.385,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
