date,time,PRICE_ADP_ADP_ON_PAYX,PRICE_PAYX_ADP_ON_PAYX,BETA_ADP_ON_PAYX,SPREAD_ADP_ON_PAYX,Z_ADP_ON_PAYX,market_close,SIGNAL_ADP_ON_PAYX,POS_ADP_ON_PAYX,POS_BETA_ADP_ON_PAYX,PAIR_BASE_ADP_ON_PAYX,PAIR_RET_ADP_ON_PAYX,SL_ADP_ON_PAYX,LOSS_ADP_ON_PAYX,COOLDOWN_ADP_ON_PAYX,CAPITAL_ADP_ON_PAYX,REMAINING_CAPITAL,CAPITAL,PORT_RET
2025-03-31,14:37:00.000000000,302.75,152.805,0.9674875225764308,154.91306911270848,-0.18283193884922022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:38:00.000000000,303.16,152.995,0.9533186973258356,157.3070059026338,-0.15196742428129914,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:39:00.000000000,302.84,152.87,0.9392242637710719,159.2607867973162,-0.12673408267948352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:40:00.000000000,302.5022,152.6035,0.92689970430206,161.0540609745406,-0.10356599313509397,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:41:00.000000000,302.44,152.625,0.9140858517648598,162.92764687438827,-0.0793986639072056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:42:00.000000000,302.185,152.555,0.9012064256361486,164.70145373707734,-0.05652458821211033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:43:00.000000000,302.315,152.74,0.8859809985776511,166.99026227724957,-0.027121806654761185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:44:00.000000000,302.4775,152.89,0.8700167853267237,169.46063369139725,0.004561751791496839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:45:00.000000000,302.66,153.03,0.853549105120468,172.0413804434148,0.0376168903582789,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:46:00.000000000,303.08,153.09,0.840858393003825,174.3529886150444,0.06721376868828366,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:47:00.000000000,303.24,153.09,0.8297080349161939,176.21999693467987,0.09112527022275899,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:48:00.000000000,302.95,153.03,0.8171571817692593,177.90043647385022,0.11263796041240451,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:49:00.000000000,302.975,152.995,0.8053653468409151,179.75812876007421,0.13638516780469864,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:50:00.000000000,302.9,152.75,0.7962357408559767,181.27499058424954,0.15577030958422533,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:51:00.000000000,302.73,152.61,0.7885096495684782,182.39554237935454,0.17009148721543554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:52:00.000000000,302.69,152.675,0.7798075602642355,183.63288073665785,0.18588551664513311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:53:00.000000000,302.77,152.67,0.7717797405005529,184.9423870177806,0.20258065651516904,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:54:00.000000000,302.88,152.665,0.7648636709024293,186.11208768168063,0.21747760891788329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:55:00.000000000,302.82,152.575,0.7568921505093137,187.33718013604147,0.23306406012122485,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:56:00.000000000,302.84,152.615,0.7493583596716905,188.47667393870492,0.24754065608057646,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:57:00.000000000,302.79,152.61,0.7420241013440274,189.54970189388797,0.2611535501434678,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:58:00.000000000,302.77,152.425,0.7353889895809581,190.67833326312245,0.2754601203129309,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,14:59:00.000000000,302.78,152.33,0.7295813316912965,191.64287574346477,0.28766051672472825,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:00:00.000000000,302.9,152.235,0.7249605172393581,192.5356356580663,0.2989371921371042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:01:00.000000000,302.715,152.17,0.7206761763849279,193.0497062395055,0.3053809599375562,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:02:00.000000000,302.715,152.17,0.7159728640346086,193.7654092798536,0.31438055240451673,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:03:00.000000000,302.74,151.86,0.7115323829189877,194.68669232992255,0.32598343748042985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:04:00.000000000,302.88,151.9,0.7082544688941187,195.29614617498336,0.33360837301108903,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:05:00.000000000,302.875,152.005,0.7048724697039794,195.7308602426466,0.33899979447259876,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
